MAZ,TAZ,COUNTY,county_name
10401,238,1,San Francisco
10402,165,1,San Francisco
10403,299,1,San Francisco
10405,534,1,San Francisco
10411,72,1,San Francisco
10413,221,1,San Francisco
10414,223,1,San Francisco
10416,60,1,San Francisco
10417,60,1,San Francisco
10418,61,1,San Francisco
10419,83,1,San Francisco
10420,83,1,San Francisco
10421,150,1,San Francisco
10424,152,1,San Francisco
10425,153,1,San Francisco
10427,105,1,San Francisco
10428,105,1,San Francisco
10429,459,1,San Francisco
10430,105,1,San Francisco
10431,105,1,San Francisco
10432,239,1,San Francisco
10433,237,1,San Francisco
10434,451,1,San Francisco
10435,189,1,San Francisco
10436,197,1,San Francisco
10437,195,1,San Francisco
10438,156,1,San Francisco
10440,186,1,San Francisco
10441,314,1,San Francisco
10443,315,1,San Francisco
10444,317,1,San Francisco
10445,323,1,San Francisco
10446,323,1,San Francisco
10447,360,1,San Francisco
10450,302,1,San Francisco
10452,318,1,San Francisco
10454,340,1,San Francisco
10455,562,1,San Francisco
10456,31,1,San Francisco
10457,599,1,San Francisco
10458,418,1,San Francisco
10460,595,1,San Francisco
10462,24,1,San Francisco
10463,98,1,San Francisco
10464,623,1,San Francisco
10466,260,1,San Francisco
10467,540,1,San Francisco
10468,256,1,San Francisco
10469,257,1,San Francisco
10470,257,1,San Francisco
10472,258,1,San Francisco
10473,258,1,San Francisco
10474,259,1,San Francisco
10476,576,1,San Francisco
10477,493,1,San Francisco
10482,43,1,San Francisco
10483,579,1,San Francisco
10484,371,1,San Francisco
10486,371,1,San Francisco
10487,369,1,San Francisco
10488,436,1,San Francisco
10489,345,1,San Francisco
10490,342,1,San Francisco
10493,465,1,San Francisco
10494,375,1,San Francisco
10496,465,1,San Francisco
10498,374,1,San Francisco
10499,470,1,San Francisco
10501,372,1,San Francisco
10503,390,1,San Francisco
10504,49,1,San Francisco
10507,49,1,San Francisco
10508,58,1,San Francisco
10509,57,1,San Francisco
10512,565,1,San Francisco
10514,599,1,San Francisco
10515,572,1,San Francisco
10517,27,1,San Francisco
10518,148,1,San Francisco
10519,154,1,San Francisco
10520,98,1,San Francisco
10523,256,1,San Francisco
10524,260,1,San Francisco
10525,258,1,San Francisco
10526,259,1,San Francisco
10527,222,1,San Francisco
10528,254,1,San Francisco
10529,253,1,San Francisco
10530,491,1,San Francisco
10532,479,1,San Francisco
10535,368,1,San Francisco
10536,369,1,San Francisco
10538,435,1,San Francisco
10539,54,1,San Francisco
10540,11,1,San Francisco
10541,49,1,San Francisco
10542,65,1,San Francisco
10543,68,1,San Francisco
10544,65,1,San Francisco
10546,645,1,San Francisco
10547,40,1,San Francisco
10549,129,1,San Francisco
10551,50,1,San Francisco
10552,84,1,San Francisco
10553,84,1,San Francisco
10554,84,1,San Francisco
10555,84,1,San Francisco
10564,7,1,San Francisco
10566,561,1,San Francisco
10567,16,1,San Francisco
10572,562,1,San Francisco
10573,5,1,San Francisco
10575,573,1,San Francisco
10576,609,1,San Francisco
10581,583,1,San Francisco
10582,613,1,San Francisco
10585,269,1,San Francisco
10586,261,1,San Francisco
10587,547,1,San Francisco
10590,44,1,San Francisco
10593,168,1,San Francisco
10594,473,1,San Francisco
10595,439,1,San Francisco
10596,433,1,San Francisco
10597,471,1,San Francisco
10598,468,1,San Francisco
10600,343,1,San Francisco
10601,370,1,San Francisco
10602,370,1,San Francisco
10604,66,1,San Francisco
10605,54,1,San Francisco
10606,54,1,San Francisco
10607,55,1,San Francisco
10608,55,1,San Francisco
10609,59,1,San Francisco
10610,65,1,San Francisco
10611,59,1,San Francisco
10612,66,1,San Francisco
10613,646,1,San Francisco
10614,40,1,San Francisco
10627,492,1,San Francisco
10628,282,1,San Francisco
10632,12,1,San Francisco
10635,12,1,San Francisco
10637,16,1,San Francisco
10642,98,1,San Francisco
10646,39,1,San Francisco
10649,290,1,San Francisco
10650,290,1,San Francisco
10654,627,1,San Francisco
10655,188,1,San Francisco
10658,188,1,San Francisco
10659,626,1,San Francisco
10660,629,1,San Francisco
10665,168,1,San Francisco
10666,429,1,San Francisco
10667,438,1,San Francisco
10668,139,1,San Francisco
10669,142,1,San Francisco
10670,142,1,San Francisco
10671,140,1,San Francisco
10675,564,1,San Francisco
10677,590,1,San Francisco
10680,39,1,San Francisco
10681,517,1,San Francisco
10683,108,1,San Francisco
10684,326,1,San Francisco
10685,272,1,San Francisco
10686,291,1,San Francisco
10693,461,1,San Francisco
10695,461,1,San Francisco
10696,463,1,San Francisco
