"purpose","stop_purp","freq"
"work","1",0
"univ","1",0
"sch","1",0
"esco","1",0
"imain","1",0
"idisc","1",0
"jmain","1",0
"jdisc","1",0
"atwork","1",0
"Total","1",0
"work","10",139498
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",12317
"Total","10",151815
"work","2",0
"univ","2",0
"sch","2",0
"esco","2",0
"imain","2",0
"idisc","2",0
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",0
"work","3",0
"univ","3",0
"sch","3",0
"esco","3",0
"imain","3",0
"idisc","3",0
"jmain","3",0
"jdisc","3",0
"atwork","3",0
"Total","3",0
"work","4",726111
"univ","4",13772
"sch","4",174522
"esco","4",30040
"imain","4",79933
"idisc","4",61909
"jmain","4",19319
"jdisc","4",13033
"atwork","4",6489
"Total","4",1125128
"work","5",342666
"univ","5",22177
"sch","5",124811
"esco","5",70521
"imain","5",181740
"idisc","5",67135
"jmain","5",41879
"jdisc","5",10957
"atwork","5",10746
"Total","5",872632
"work","6",281886
"univ","6",2935
"sch","6",88960
"esco","6",52261
"imain","6",214836
"idisc","6",105972
"jmain","6",44007
"jdisc","6",10079
"atwork","6",9801
"Total","6",810737
"work","7",117883
"univ","7",26756
"sch","7",71339
"esco","7",22324
"imain","7",155165
"idisc","7",80163
"jmain","7",34870
"jdisc","7",12126
"atwork","7",26326
"Total","7",546952
"work","8",93600
"univ","8",10897
"sch","8",66222
"esco","8",15341
"imain","8",39045
"idisc","8",52819
"jmain","8",9692
"jdisc","8",8986
"atwork","8",703
"Total","8",297305
"work","9",91725
"univ","9",0
"sch","9",41563
"esco","9",16584
"imain","9",30225
"idisc","9",39837
"jmain","9",20808
"jdisc","9",4630
"atwork","9",2111
"Total","9",247483
