"","PERTYPE","TOURPURP","freq"
"1",1,4,151643
"2",1,5,104512
"3",1,6,132183
"4",1,7,1005
"5",1,8,61830
"6",1,9,177081
"7",2,4,74061
"8",2,5,47318
"9",2,6,76331
"10",2,7,5599
"11",2,8,87016
"12",2,9,92773
"13",3,4,92681
"14",3,5,29044
"15",3,6,16557
"16",3,7,1053
"17",3,8,23549
"18",3,9,31200
"19",4,4,251126
"20",4,5,132228
"21",4,6,308194
"22",4,7,21437
"23",4,8,53405
"24",4,9,148332
"25",5,4,33966
"26",5,5,118345
"27",5,6,139809
"28",5,7,45153
"29",5,8,42940
"30",5,9,147270
"31",6,4,1382
"32",6,5,543
"33",6,6,4064
"34",6,7,78
"35",6,8,3642
"36",6,9,7706
"37",7,4,13226
"38",7,5,1484
"39",7,6,9560
"40",7,8,7789
"41",7,9,22078
"42",8,4,68153
"43",8,5,8
"44",8,6,54529
"45",8,7,3785
"46",8,8,30925
"47",8,9,27668
