"","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
"Alameda",432990,33712,3288,516,45688,24806,60807,2047,701,604555
"Contra Costa",90398,250225,5947,2384,28505,6056,11237,13183,1274,409209
"Marin",10748,5909,49489,590,24248,3439,1386,1232,5114,102155
"Napa",2654,3689,908,34008,1567,462,566,7639,3731,55224
"San Francisco",11416,2234,1575,49,350113,12301,1688,208,170,379754
"San Mateo",30138,4139,2286,197,66638,153767,53404,483,358,311410
"Santa Clara",49249,4621,661,226,5747,30655,631800,536,310,723805
"Solano",11698,22701,2179,7575,5521,1799,2097,104918,2168,160656
"Sonoma",3631,2368,6397,4471,4263,1232,1511,2187,167052,193112
"Total",642922,329598,72730,50016,532290,234517,764496,132433,180878,2939880
