"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,354129,265493,53576,31931,115086,162284,443606,104725,111167,1641997
2,670,587,114,92,102,294,613,302,390,3164
3,429,450,79,76,98,213,588,257,298,2488
4,312,347,63,44,101,163,452,161,173,1816
5,186,271,46,23,97,104,361,87,104,1279
6,146,195,38,8,76,81,311,39,71,965
7,98,190,26,12,56,67,243,32,69,793
8,72,136,16,6,32,64,192,34,46,598
9,87,101,32,5,21,58,177,41,51,573
10,71,90,23,2,2,53,164,17,45,467
11,55,78,17,2,0,28,135,24,53,392
12,50,62,20,8,5,40,100,28,38,351
13,39,61,28,6,0,39,94,18,29,314
14,37,54,20,2,1,30,68,16,18,246
15,50,50,14,5,1,23,55,19,18,235
16,33,41,13,9,1,14,23,9,9,152
17,37,35,20,3,1,22,33,7,15,173
18,31,32,15,5,0,15,19,16,12,145
19,19,30,17,2,0,15,16,11,10,120
20,23,25,4,5,1,15,11,12,10,106
21,16,16,10,2,1,13,14,12,10,94
22,8,33,11,1,0,12,4,7,2,78
23,16,24,5,3,0,4,8,7,3,70
24,12,18,8,0,0,6,6,4,5,59
25,10,12,8,1,2,4,8,5,4,54
26,5,9,2,1,0,5,6,8,0,36
27,9,13,2,2,0,1,6,5,5,43
28,6,6,5,2,0,2,3,3,3,30
29,6,5,4,2,0,1,7,1,2,28
30,2,3,4,0,0,4,2,2,0,17
31,2,8,1,0,0,2,1,6,0,20
32,2,7,3,0,1,2,0,5,1,21
33,0,7,1,0,0,2,1,2,0,13
34,1,9,2,0,0,2,2,1,1,18
35,4,3,0,0,0,1,3,0,0,11
36,1,2,3,0,0,1,1,1,0,9
37,2,2,0,0,0,0,1,0,0,5
38,1,1,1,0,0,1,2,1,1,8
39,0,1,1,0,0,0,1,0,0,3
40,0,1,1,0,0,0,1,0,0,3
41,1,4,1,1,0,0,1,0,2,10
42,0,0,1,0,0,0,0,0,0,1
43,1,0,0,0,0,0,0,0,0,1
44,0,1,0,0,0,0,0,0,1,2
45,0,0,0,0,0,0,0,0,0,0
46,0,1,0,0,0,0,0,0,0,1
47,0,1,2,0,0,0,0,0,0,3
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,1
51,0,3,0,1,0,0,0,6,3,13
