"distbin","PURPOSE","freq"
1,"esco",210351
10,"esco",6277
11,"esco",6227
12,"esco",5768
13,"esco",5774
14,"esco",5572
15,"esco",5422
16,"esco",5219
17,"esco",4686
18,"esco",3744
19,"esco",2925
2,"esco",159742
20,"esco",2181
21,"esco",1738
22,"esco",1662
23,"esco",1550
24,"esco",1442
25,"esco",1457
26,"esco",1467
27,"esco",1395
28,"esco",1331
29,"esco",1245
3,"esco",94548
30,"esco",1187
31,"esco",1245
32,"esco",1141
33,"esco",1049
34,"esco",1086
35,"esco",990
36,"esco",888
37,"esco",911
38,"esco",887
39,"esco",827
4,"esco",51741
40,"esco",801
41,"esco",14943
5,"esco",29020
6,"esco",18137
7,"esco",12505
8,"esco",9289
9,"esco",7868
1,"imain",409277
10,"imain",16229
11,"imain",14473
12,"imain",12740
13,"imain",10888
14,"imain",9427
15,"imain",7798
16,"imain",6416
17,"imain",5082
18,"imain",4085
19,"imain",3333
2,"imain",196232
20,"imain",2527
21,"imain",2153
22,"imain",2236
23,"imain",2241
24,"imain",2180
25,"imain",2169
26,"imain",2216
27,"imain",2125
28,"imain",2054
29,"imain",1915
3,"imain",141139
30,"imain",1889
31,"imain",1825
32,"imain",1796
33,"imain",1790
34,"imain",1809
35,"imain",1725
36,"imain",1734
37,"imain",1664
38,"imain",1669
39,"imain",1653
4,"imain",91656
40,"imain",1576
41,"imain",33997
5,"imain",60697
6,"imain",41405
7,"imain",29648
8,"imain",21244
9,"imain",17997
1,"idisc",315726
10,"idisc",17089
11,"idisc",13614
12,"idisc",11115
13,"idisc",9260
14,"idisc",7404
15,"idisc",6178
16,"idisc",5253
17,"idisc",4394
18,"idisc",3996
19,"idisc",3358
2,"idisc",161801
20,"idisc",3100
21,"idisc",2991
22,"idisc",2998
23,"idisc",2922
24,"idisc",2990
25,"idisc",2921
26,"idisc",2941
27,"idisc",2946
28,"idisc",2753
29,"idisc",2779
3,"idisc",100643
30,"idisc",2713
31,"idisc",2643
32,"idisc",2573
33,"idisc",2579
34,"idisc",2528
35,"idisc",2508
36,"idisc",2343
37,"idisc",2466
38,"idisc",2447
39,"idisc",2351
4,"idisc",78646
40,"idisc",2247
41,"idisc",50368
5,"idisc",62328
6,"idisc",48532
7,"idisc",37550
8,"idisc",27976
9,"idisc",21344
1,"jmain",68977
10,"jmain",2783
11,"jmain",2569
12,"jmain",2165
13,"jmain",1851
14,"jmain",1443
15,"jmain",1238
16,"jmain",1009
17,"jmain",854
18,"jmain",631
19,"jmain",503
2,"jmain",44425
20,"jmain",361
21,"jmain",299
22,"jmain",315
23,"jmain",306
24,"jmain",330
25,"jmain",310
26,"jmain",374
27,"jmain",315
28,"jmain",290
29,"jmain",306
3,"jmain",34552
30,"jmain",279
31,"jmain",279
32,"jmain",305
33,"jmain",277
34,"jmain",265
35,"jmain",264
36,"jmain",262
37,"jmain",251
38,"jmain",271
39,"jmain",249
4,"jmain",21273
40,"jmain",225
41,"jmain",4493
5,"jmain",13153
6,"jmain",8371
7,"jmain",5581
8,"jmain",3698
9,"jmain",3078
1,"jdisc",44021
10,"jdisc",4366
11,"jdisc",3675
12,"jdisc",2768
13,"jdisc",2184
14,"jdisc",1812
15,"jdisc",1419
16,"jdisc",1086
17,"jdisc",903
18,"jdisc",736
19,"jdisc",615
2,"jdisc",30888
20,"jdisc",624
21,"jdisc",539
22,"jdisc",515
23,"jdisc",551
24,"jdisc",519
25,"jdisc",525
26,"jdisc",490
27,"jdisc",496
28,"jdisc",450
29,"jdisc",457
3,"jdisc",23483
30,"jdisc",447
31,"jdisc",439
32,"jdisc",491
33,"jdisc",449
34,"jdisc",420
35,"jdisc",432
36,"jdisc",412
37,"jdisc",441
38,"jdisc",426
39,"jdisc",371
4,"jdisc",18937
40,"jdisc",379
41,"jdisc",8348
5,"jdisc",14866
6,"jdisc",11147
7,"jdisc",8600
8,"jdisc",6561
9,"jdisc",5096
1,"atwork",239021
10,"atwork",4010
11,"atwork",4075
12,"atwork",4296
13,"atwork",4050
14,"atwork",3760
15,"atwork",3187
16,"atwork",2412
17,"atwork",1762
18,"atwork",991
19,"atwork",622
2,"atwork",70286
20,"atwork",198
21,"atwork",68
22,"atwork",64
23,"atwork",56
24,"atwork",46
25,"atwork",39
26,"atwork",29
27,"atwork",29
28,"atwork",20
29,"atwork",8
3,"atwork",29871
30,"atwork",6
31,"atwork",3
32,"atwork",4
33,"atwork",1
34,"atwork",2
35,"atwork",3
36,"atwork",0
37,"atwork",0
38,"atwork",1
39,"atwork",0
4,"atwork",15155
40,"atwork",1
41,"atwork",1
5,"atwork",8732
6,"atwork",6182
7,"atwork",4752
8,"atwork",4047
9,"atwork",3773
1,"Total",1287373
10,"Total",50754
11,"Total",44633
12,"Total",38852
13,"Total",34007
14,"Total",29418
15,"Total",25242
16,"Total",21395
17,"Total",17681
18,"Total",14183
19,"Total",11356
2,"Total",663374
20,"Total",8991
21,"Total",7788
22,"Total",7790
23,"Total",7626
24,"Total",7507
25,"Total",7421
26,"Total",7517
27,"Total",7306
28,"Total",6898
29,"Total",6710
3,"Total",424236
30,"Total",6521
31,"Total",6434
32,"Total",6310
33,"Total",6145
34,"Total",6110
35,"Total",5922
36,"Total",5639
37,"Total",5733
38,"Total",5701
39,"Total",5451
4,"Total",277408
40,"Total",5229
41,"Total",112150
5,"Total",188796
6,"Total",133774
7,"Total",98636
8,"Total",72815
9,"Total",59156
