"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",0,410600,776564,1187164
"2","work",266,184612,151117,335995
"3","work",59,78747,72256,151062
"4","work",41588,107954,65733,215275
"5","work",26183,188776,141726,356685
"6","work",178395,57431,28101,263927
"7","work",0,18964,19083,38047
"8","work",2285,7804,7487,17576
"9","work",0,0,0,0
"1","univ",0,24792,21350,46142
"2","univ",874,24712,7528,33114
"3","univ",395,5365,1408,7168
"4","univ",26643,5704,14836,47183
"5","univ",11647,53477,13855,78979
"6","univ",15478,9420,2203,27101
"7","univ",0,2657,984,3641
"8","univ",50,1288,348,1686
"9","univ",0,0,0,0
"1","sch",0,7443,12193,19636
"2","sch",3713,65345,147928,216986
"3","sch",15241,302401,316640,634282
"4","sch",60940,90242,113380,264562
"5","sch",8682,23824,29970,62476
"6","sch",18521,16965,6033,41519
"7","sch",0,2336,745,3081
"8","sch",197,1049,537,1783
"9","sch",3305,33769,44970,82044
"1","imain",0,107839,177374,285213
"2","imain",11720,110688,146145,268553
"3","imain",855,85119,86664,172638
"4","imain",106507,106033,118782,331322
"5","imain",7036,13534,8119,28689
"6","imain",54630,20155,7753,82538
"7","imain",0,2577,1551,4128
"8","imain",215,742,671,1628
"9","imain",0,0,0,0
"1","idisc",0,124524,173105,297629
"2","idisc",14871,63547,75572,153990
"3","idisc",4428,56267,52194,112889
"4","idisc",78094,139279,143533,360906
"5","idisc",6075,38959,19164,64198
"6","idisc",34553,10674,4028,49255
"7","idisc",0,1823,965,2788
"8","idisc",537,635,487,1659
"9","idisc",0,0,0,0
"1","jmain",0,0,0,0
"2","jmain",23934,62148,58050,144132
"3","jmain",29432,41538,13678,84648
"4","jmain",0,0,0,0
"5","jmain",0,0,0,0
"6","jmain",0,0,0,0
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,0,0,0
"1","jdisc",0,0,0,0
"2","jdisc",27473,42935,51539,121947
"3","jdisc",15328,37679,26430,79437
"4","jdisc",0,0,0,0
"5","jdisc",0,0,0,0
"6","jdisc",0,0,0,0
"7","jdisc",0,0,0,0
"8","jdisc",0,0,0,0
"9","jdisc",0,0,0,0
"1","atwork",0,37230,90656,127886
"2","atwork",480,12456,26768,39704
"3","atwork",180,3864,12341,16385
"4","atwork",29633,75006,103890,208529
"5","atwork",1014,4156,3993,9163
"6","atwork",3991,4476,1429,9896
"7","atwork",0,0,0,0
"8","atwork",0,0,0,0
"9","atwork",0,0,0,0
"1","Total",0,712428,1251242,1963670
"2","Total",83331,566443,664647,1314421
"3","Total",65918,610980,581611,1258509
"4","Total",343405,524218,560154,1427777
"5","Total",60637,322726,216827,600190
"6","Total",305568,119121,49547,474236
"7","Total",0,28357,23328,51685
"8","Total",3284,11518,9530,24332
"9","Total",3305,33769,44970,82044
