"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,96429,38796,8539,4980,56792,29388,89636,13423,20162,358145
2,5443,2939,500,377,3766,2022,6300,1291,2012,24650
3,3735,2085,350,283,3112,1611,4937,963,1609,18685
4,2540,1594,300,165,2507,1109,3922,664,843,13644
5,1840,1280,230,107,2108,782,3104,364,540,10355
6,1220,936,152,78,2070,635,2523,227,360,8201
7,766,849,108,66,1819,501,2203,158,320,6790
8,577,606,83,48,1108,486,1728,137,236,5009
9,558,511,85,26,613,503,1524,164,250,4234
10,522,429,92,39,367,551,1223,114,245,3582
11,438,390,105,12,75,495,1021,107,193,2836
12,464,360,98,17,29,461,803,107,135,2474
13,445,289,108,18,33,292,619,108,129,2041
14,386,330,72,16,39,220,487,83,87,1720
15,349,300,45,13,32,219,350,94,62,1464
16,292,261,64,21,42,141,301,55,58,1235
17,235,221,53,13,36,129,208,59,62,1016
18,214,183,53,10,25,144,149,68,40,886
19,162,176,56,12,24,106,137,73,59,805
20,156,170,37,6,14,109,121,36,36,685
21,130,158,55,8,13,81,98,32,21,596
22,104,118,39,10,15,84,78,29,28,505
23,104,113,28,5,10,71,61,30,19,441
24,86,98,31,2,18,74,46,31,14,400
25,75,90,19,7,11,42,37,19,16,316
26,70,74,29,4,4,42,39,20,15,297
27,45,63,23,3,3,34,32,13,16,232
28,33,71,13,2,6,22,25,20,7,199
29,36,44,17,1,1,34,23,12,4,172
30,35,41,9,2,2,19,12,12,4,136
31,32,35,12,2,2,23,15,6,4,131
32,21,11,7,5,1,14,14,8,2,83
33,9,19,8,1,2,10,10,8,3,70
34,13,15,6,1,2,10,11,5,1,64
35,8,27,3,0,1,7,4,6,2,58
36,9,14,2,2,1,4,8,7,2,49
37,5,8,3,2,0,8,7,7,3,43
38,4,10,2,3,1,3,2,5,4,34
39,2,3,3,1,0,1,2,3,0,15
40,3,4,2,2,2,4,2,2,4,25
41,0,5,0,0,0,2,2,2,5,16
42,2,4,2,1,0,2,3,1,3,18
43,1,3,1,2,0,0,1,2,0,10
44,0,3,1,0,1,1,1,2,1,10
45,0,1,1,0,0,2,1,0,0,5
46,1,2,2,0,0,0,3,1,1,10
47,0,1,1,0,0,0,1,1,0,4
48,0,1,1,0,0,1,0,2,0,5
49,0,2,0,0,0,0,3,0,0,5
50,0,1,0,0,0,1,1,1,1,5
51,2,11,2,3,0,1,11,16,3,49
