"District","Workers","WFH"
"Alameda",671482,66927
"Contra Costa",461565,52356
"Marin",117968,15813
"Napa",62978,7754
"San Francisco",419141,39387
"San Mateo",347404,35994
"Santa Clara",804857,81052
"Solano",180800,20144
"Sonoma",221264,28152
"Total",3287459,347579
