"purpose","avgTripLength"
"esco",5.05751890713717
"imain",5.46845809438337
"idisc",7.36619495144127
"jmain",4.67456805574788
"jdisc",7.30574772552437
"atwork",2.12279748196995
"Total",6.57574406880991
