"","PERTYPE","DAP","freq"
"1","1","H",220041
"2","2","H",77499
"3","3","H",118714
"4","4","H",407650
"5","5","H",271305
"6","6","H",14079
"7","7","H",17269
"8","8","H",116075
"9","Total","H",1242632
"10","1","M",2036165
"11","2","M",290057
"12","3","M",230327
"13","4","M",0
"14","5","M",0
"15","6","M",180102
"16","7","M",924009
"17","8","M",220408
"18","Total","M",3881068
"19","1","N",250143
"20","2","N",231005
"21","3","N",123419
"22","4","N",734518
"23","5","N",467943
"24","6","N",5282
"25","7","N",28159
"26","8","N",167228
"27","Total","N",2007697
