"distbin","PURPOSE","freq"
1,"work",235996
10,"work",12383
11,"work",9319
12,"work",7454
13,"work",6461
14,"work",5678
15,"work",4729
16,"work",4482
17,"work",3791
18,"work",3593
19,"work",3375
2,"work",873484
20,"work",2934
21,"work",2762
22,"work",2365
23,"work",2001
24,"work",1867
25,"work",1588
26,"work",1418
27,"work",1316
28,"work",1199
29,"work",1072
3,"work",261571
30,"work",932
31,"work",778
32,"work",752
33,"work",670
34,"work",558
35,"work",477
36,"work",479
37,"work",456
38,"work",391
39,"work",295
4,"work",128281
40,"work",287
41,"work",248
42,"work",2115
5,"work",77753
6,"work",51012
7,"work",35056
8,"work",24383
9,"work",17608
1,"univ",10874
10,"univ",502
11,"univ",385
12,"univ",290
13,"univ",267
14,"univ",240
15,"univ",200
16,"univ",179
17,"univ",176
18,"univ",160
19,"univ",138
2,"univ",39544
20,"univ",116
21,"univ",118
22,"univ",108
23,"univ",82
24,"univ",73
25,"univ",90
26,"univ",73
27,"univ",66
28,"univ",58
29,"univ",53
3,"univ",10168
30,"univ",49
31,"univ",44
32,"univ",42
33,"univ",28
34,"univ",26
35,"univ",38
36,"univ",35
37,"univ",24
38,"univ",17
39,"univ",17
4,"univ",4603
40,"univ",13
41,"univ",14
42,"univ",103
5,"univ",2837
6,"univ",1822
7,"univ",1298
8,"univ",886
9,"univ",681
1,"sch",18884
10,"sch",14107
11,"sch",12541
12,"sch",11583
13,"sch",10477
14,"sch",9522
15,"sch",8596
16,"sch",8114
17,"sch",7535
18,"sch",7030
19,"sch",6634
2,"sch",163378
20,"sch",6267
21,"sch",5579
22,"sch",5227
23,"sch",4868
24,"sch",4483
25,"sch",4230
26,"sch",3832
27,"sch",3545
28,"sch",3359
29,"sch",3072
3,"sch",56595
30,"sch",2976
31,"sch",2815
32,"sch",2668
33,"sch",2408
34,"sch",2183
35,"sch",2088
36,"sch",1888
37,"sch",1828
38,"sch",1614
39,"sch",1408
4,"sch",39636
40,"sch",1321
41,"sch",1252
42,"sch",12938
5,"sch",30673
6,"sch",25105
7,"sch",21258
8,"sch",17774
9,"sch",16126
1,"esco",14800
10,"esco",3047
11,"esco",2496
12,"esco",1907
13,"esco",1464
14,"esco",1247
15,"esco",940
16,"esco",793
17,"esco",638
18,"esco",513
19,"esco",409
2,"esco",90186
20,"esco",387
21,"esco",263
22,"esco",237
23,"esco",176
24,"esco",211
25,"esco",149
26,"esco",111
27,"esco",104
28,"esco",85
29,"esco",70
3,"esco",29747
30,"esco",66
31,"esco",65
32,"esco",44
33,"esco",44
34,"esco",46
35,"esco",32
36,"esco",20
37,"esco",22
38,"esco",14
39,"esco",14
4,"esco",17887
40,"esco",12
41,"esco",12
42,"esco",87
5,"esco",12491
6,"esco",9328
7,"esco",7195
8,"esco",5420
9,"esco",4292
1,"imain",44611
10,"imain",8485
11,"imain",6669
12,"imain",5367
13,"imain",4371
14,"imain",3551
15,"imain",2954
16,"imain",2507
17,"imain",2143
18,"imain",1774
19,"imain",1538
2,"imain",359148
20,"imain",1240
21,"imain",1052
22,"imain",921
23,"imain",809
24,"imain",744
25,"imain",573
26,"imain",523
27,"imain",476
28,"imain",405
29,"imain",365
3,"imain",94044
30,"imain",322
31,"imain",258
32,"imain",250
33,"imain",198
34,"imain",172
35,"imain",184
36,"imain",146
37,"imain",126
38,"imain",108
39,"imain",85
4,"imain",50782
40,"imain",114
41,"imain",81
42,"imain",609
5,"imain",34150
6,"imain",25345
7,"imain",19052
8,"imain",13929
9,"imain",10763
1,"idisc",38660
10,"idisc",3530
11,"idisc",2725
12,"idisc",2108
13,"idisc",1659
14,"idisc",1368
15,"idisc",1156
16,"idisc",814
17,"idisc",789
18,"idisc",613
19,"idisc",545
2,"idisc",230504
20,"idisc",436
21,"idisc",377
22,"idisc",316
23,"idisc",251
24,"idisc",225
25,"idisc",197
26,"idisc",184
27,"idisc",136
28,"idisc",138
29,"idisc",103
3,"idisc",54027
30,"idisc",100
31,"idisc",75
32,"idisc",64
33,"idisc",53
34,"idisc",58
35,"idisc",43
36,"idisc",38
37,"idisc",45
38,"idisc",33
39,"idisc",33
4,"idisc",24101
40,"idisc",37
41,"idisc",16
42,"idisc",177
5,"idisc",14207
6,"idisc",9989
7,"idisc",7520
8,"idisc",5842
9,"idisc",4543
1,"jmain",7944
10,"jmain",2958
11,"jmain",2269
12,"jmain",1857
13,"jmain",1486
14,"jmain",1229
15,"jmain",1089
16,"jmain",883
17,"jmain",771
18,"jmain",653
19,"jmain",536
2,"jmain",71601
20,"jmain",461
21,"jmain",442
22,"jmain",349
23,"jmain",341
24,"jmain",300
25,"jmain",279
26,"jmain",223
27,"jmain",166
28,"jmain",167
29,"jmain",193
3,"jmain",23520
30,"jmain",152
31,"jmain",128
32,"jmain",122
33,"jmain",105
34,"jmain",81
35,"jmain",72
36,"jmain",83
37,"jmain",66
38,"jmain",51
39,"jmain",73
4,"jmain",14699
40,"jmain",59
41,"jmain",60
42,"jmain",437
5,"jmain",10956
6,"jmain",8603
7,"jmain",6675
8,"jmain",4830
9,"jmain",3606
1,"jdisc",4412
10,"jdisc",782
11,"jdisc",608
12,"jdisc",518
13,"jdisc",375
14,"jdisc",353
15,"jdisc",271
16,"jdisc",236
17,"jdisc",197
18,"jdisc",199
19,"jdisc",145
2,"jdisc",29751
20,"jdisc",121
21,"jdisc",102
22,"jdisc",86
23,"jdisc",73
24,"jdisc",81
25,"jdisc",78
26,"jdisc",64
27,"jdisc",49
28,"jdisc",44
29,"jdisc",42
3,"jdisc",8052
30,"jdisc",36
31,"jdisc",36
32,"jdisc",20
33,"jdisc",25
34,"jdisc",29
35,"jdisc",28
36,"jdisc",29
37,"jdisc",18
38,"jdisc",16
39,"jdisc",17
4,"jdisc",4152
40,"jdisc",11
41,"jdisc",12
42,"jdisc",112
5,"jdisc",2678
6,"jdisc",2101
7,"jdisc",1563
8,"jdisc",1257
9,"jdisc",1032
1,"atwork",2794
10,"atwork",589
11,"atwork",448
12,"atwork",382
13,"atwork",305
14,"atwork",254
15,"atwork",223
16,"atwork",151
17,"atwork",151
18,"atwork",138
19,"atwork",109
2,"atwork",44262
20,"atwork",95
21,"atwork",82
22,"atwork",80
23,"atwork",75
24,"atwork",68
25,"atwork",49
26,"atwork",34
27,"atwork",56
28,"atwork",31
29,"atwork",27
3,"atwork",8027
30,"atwork",31
31,"atwork",28
32,"atwork",26
33,"atwork",27
34,"atwork",20
35,"atwork",20
36,"atwork",23
37,"atwork",13
38,"atwork",13
39,"atwork",9
4,"atwork",3488
40,"atwork",10
41,"atwork",10
42,"atwork",110
5,"atwork",2065
6,"atwork",1442
7,"atwork",1141
8,"atwork",850
9,"atwork",737
1,"Total",378975
10,"Total",46383
11,"Total",37460
12,"Total",31466
13,"Total",26865
14,"Total",23442
15,"Total",20158
16,"Total",18159
17,"Total",16191
18,"Total",14673
19,"Total",13429
2,"Total",1901858
20,"Total",12057
21,"Total",10777
22,"Total",9689
23,"Total",8676
24,"Total",8052
25,"Total",7233
26,"Total",6462
27,"Total",5914
28,"Total",5486
29,"Total",4997
3,"Total",545751
30,"Total",4664
31,"Total",4227
32,"Total",3988
33,"Total",3558
34,"Total",3173
35,"Total",2982
36,"Total",2741
37,"Total",2598
38,"Total",2257
39,"Total",1951
4,"Total",287629
40,"Total",1864
41,"Total",1705
42,"Total",16688
5,"Total",187810
6,"Total",134747
7,"Total",100758
8,"Total",75171
9,"Total",59388
