"","PERTYPE","nmtours","freq"
"1","1","0",1998447
"2","2","0",305474
"3","3","0",320138
"4","4","0",407650
"5","5","0",271305
"6","6","0",183199
"7","7","0",916099
"8","8","0",336477
"9","Total","0",4738789
"10","1","1",414505
"11","2","1",221816
"12","3","1",120816
"13","4","1",580010
"14","5","1",416414
"15","6","1",15292
"16","7","1",52660
"17","8","1",151223
"18","Total","1",1972736
"19","1","2",71276
"20","2","2",57073
"21","3","2",25451
"22","4","2",134270
"23","5","2",44165
"24","6","2",801
"25","7","2",559
"26","8","2",14638
"27","Total","2",348233
"28","1","3pl",22121
"29","2","3pl",14198
"30","3","3pl",6055
"31","4","3pl",20238
"32","5","3pl",7364
"33","6","3pl",171
"34","7","3pl",119
"35","8","3pl",1373
"36","Total","3pl",71639
