"id","purpose","freq_stop","freq_trip"
26,"imain",23141,93546
27,"imain",18928,78665
28,"imain",18953,78499
29,"imain",16818,71329
3,"imain",1358,6378
30,"imain",15193,61271
31,"imain",13985,54844
32,"imain",12780,48590
33,"imain",9575,34888
34,"imain",7400,25589
35,"imain",5945,19084
36,"imain",4690,14343
37,"imain",3746,10873
38,"imain",3151,8602
39,"imain",2877,7324
4,"imain",2315,11464
40,"imain",2646,6725
5,"imain",3802,19627
6,"imain",6617,33203
7,"imain",10973,56710
8,"imain",13320,68275
9,"imain",16561,83670
1,"jdisc",312,3197
10,"jdisc",723,4901
11,"jdisc",820,5195
12,"jdisc",760,4549
13,"jdisc",780,4816
14,"jdisc",992,6335
15,"jdisc",958,6367
16,"jdisc",847,5767
17,"jdisc",790,5384
18,"jdisc",753,5087
19,"jdisc",750,4970
2,"jdisc",406,4074
20,"jdisc",660,4401
21,"jdisc",692,4604
22,"jdisc",781,5002
23,"jdisc",1074,7659
24,"jdisc",1396,10324
25,"jdisc",1666,13413
26,"jdisc",2630,21160
27,"jdisc",3443,28341
28,"jdisc",4710,37472
29,"jdisc",5646,48023
3,"jdisc",456,5016
30,"jdisc",4353,34376
31,"jdisc",3172,27797
32,"jdisc",3240,27079
33,"jdisc",3275,25604
34,"jdisc",3491,25732
35,"jdisc",2009,13076
36,"jdisc",1430,8648
37,"jdisc",935,6037
38,"jdisc",846,4975
39,"jdisc",420,2869
4,"jdisc",509,6096
40,"jdisc",450,2923
5,"jdisc",654,7250
6,"jdisc",685,6953
7,"jdisc",762,6495
8,"jdisc",722,5451
9,"jdisc",813,5161
1,"jmain",545,2440
10,"jmain",3212,12273
11,"jmain",4401,16102
12,"jmain",5602,20355
13,"jmain",6333,22543
14,"jmain",6899,23789
15,"jmain",6174,21184
16,"jmain",5992,20256
17,"jmain",5215,17954
18,"jmain",4928,16679
19,"jmain",5279,17797
2,"jmain",905,4187
20,"jmain",4826,16431
21,"jmain",4677,16422
22,"jmain",5001,17717
23,"jmain",5473,19499
24,"jmain",5769,21088
25,"jmain",6105,21721
26,"jmain",5776,21582
27,"jmain",6367,23785
28,"jmain",7034,27412
29,"jmain",7070,27938
3,"jmain",1468,6738
30,"jmain",7548,28174
31,"jmain",7485,27490
32,"jmain",7306,26585
33,"jmain",5245,18857
34,"jmain",4005,13771
35,"jmain",2754,9566
36,"jmain",2116,7046
37,"jmain",1509,4972
38,"jmain",1080,3476
39,"jmain",762,2384
4,"jmain",2201,9927
40,"jmain",530,1646
5,"jmain",2514,11921
6,"jmain",2829,13260
7,"jmain",2679,12154
8,"jmain",2424,10452
9,"jmain",2537,10562
1,"sch",522,3722
10,"sch",3500,31010
11,"sch",1890,17008
12,"sch",1475,13488
13,"sch",1454,12885
14,"sch",1968,16248
15,"sch",3085,21909
16,"sch",4289,28605
17,"sch",5917,36857
18,"sch",7826,46201
19,"sch",9907,56303
2,"sch",733,4946
20,"sch",27531,145154
21,"sch",73211,358065
22,"sch",73232,335524
23,"sch",49332,211974
24,"sch",30414,122985
25,"sch",28844,105512
26,"sch",29942,101997
27,"sch",26185,83605
28,"sch",13900,43203
29,"sch",7483,22642
3,"sch",802,6134
30,"sch",4554,13439
31,"sch",2644,7595
32,"sch",1526,4267
33,"sch",795,2327
34,"sch",472,1421
35,"sch",443,1372
36,"sch",473,1355
37,"sch",540,1415
38,"sch",572,1486
39,"sch",507,1370
4,"sch",1140,8831
40,"sch",543,1435
5,"sch",11287,100084
6,"sch",40234,360681
7,"sch",54489,476786
8,"sch",28466,264167
9,"sch",15290,146147
1,"univ",17,180
10,"univ",1935,20323
11,"univ",1853,18484
12,"univ",1819,17321
13,"univ",1830,17240
14,"univ",2124,17773
15,"univ",2263,17956
16,"univ",3986,27563
17,"univ",2761,19889
18,"univ",2355,16573
19,"univ",2412,16425
2,"univ",12,160
20,"univ",2387,16223
21,"univ",2400,15705
22,"univ",2309,15231
23,"univ",2397,14921
24,"univ",2355,14247
25,"univ",3526,26337
26,"univ",3280,23523
27,"univ",2968,20433
28,"univ",2831,18985
29,"univ",2656,18143
3,"univ",15,150
30,"univ",2123,12593
31,"univ",2159,13181
32,"univ",2372,13655
33,"univ",2209,13056
34,"univ",1950,11457
35,"univ",1701,9999
36,"univ",1498,8337
37,"univ",1230,6911
38,"univ",1099,5675
39,"univ",943,5019
4,"univ",205,2082
40,"univ",843,4490
5,"univ",351,3706
6,"univ",1531,16957
7,"univ",2159,24524
8,"univ",1671,18970
9,"univ",2002,22168
1,"work",16379,50050
10,"work",37482,171097
11,"work",25008,115867
12,"work",18568,84593
13,"work",16559,78801
14,"work",15121,73933
15,"work",16729,79271
16,"work",17162,81114
17,"work",19096,88418
18,"work",21501,96504
19,"work",24794,107057
2,"work",14808,48578
20,"work",30017,122540
21,"work",34108,133282
22,"work",50885,182776
23,"work",61683,214588
24,"work",80287,274434
25,"work",113637,380820
26,"work",138692,464549
27,"work",125231,421693
28,"work",90848,313567
29,"work",60618,213148
3,"work",35479,123095
30,"work",55290,194665
31,"work",37057,134494
32,"work",28683,106725
33,"work",23597,88519
34,"work",19385,75427
35,"work",16811,66693
36,"work",15076,61415
37,"work",13843,58351
38,"work",13840,59020
39,"work",15758,69522
4,"work",41237,154571
40,"work",20927,98648
5,"work",64040,253976
6,"work",86319,365598
7,"work",115387,507898
8,"work",93885,409956
9,"work",67542,299578
1,"Total",18795,65976
10,"Total",85158,452567
11,"Total",77947,413823
12,"Total",76848,397939
13,"Total",78851,414555
14,"Total",84483,444101
15,"Total",86622,498018
16,"Total",91232,551238
17,"Total",93054,561482
18,"Total",91330,507210
19,"Total",96808,518711
2,"Total",18645,73241
20,"Total",123855,661040
21,"Total",177489,897726
22,"Total",193631,911584
23,"Total",172264,757198
24,"Total",172088,718484
25,"Total",198167,787421
26,"Total",223271,862105
27,"Total",204594,803229
28,"Total",161027,680082
29,"Total",123183,570962
3,"Total",41557,162637
30,"Total",108412,475471
31,"Total",83121,372302
32,"Total",72722,332639
33,"Total",61884,283577
34,"Total",55849,256734
35,"Total",39392,173935
36,"Total",34284,149422
37,"Total",28261,122926
38,"Total",26192,112968
39,"Total",24759,107348
4,"Total",51348,222768
40,"Total",29473,137403
5,"Total",88103,440934
6,"Total",148887,888688
7,"Total",210623,1299345
8,"Total",167759,994770
9,"Total",130084,735697
