"id","purpose","freq_stop","freq_trip"
1,"atwork",42,445
10,"atwork",918,11369
11,"atwork",1131,14895
12,"atwork",1412,18582
13,"atwork",1910,25158
14,"atwork",2492,33264
15,"atwork",5602,94310
16,"atwork",8478,135972
17,"atwork",12875,162234
18,"atwork",8329,99216
19,"atwork",4686,52251
2,"atwork",37,367
20,"atwork",3308,36029
21,"atwork",2232,25497
22,"atwork",1677,19453
23,"atwork",1324,15614
24,"atwork",1042,12775
25,"atwork",923,11309
26,"atwork",757,9169
27,"atwork",569,7378
28,"atwork",602,7217
29,"atwork",585,7303
3,"atwork",81,781
30,"atwork",564,7047
31,"atwork",558,6986
32,"atwork",524,6760
33,"atwork",517,6541
34,"atwork",503,6382
35,"atwork",547,6255
36,"atwork",505,5709
37,"atwork",446,5104
38,"atwork",469,4642
39,"atwork",351,3732
4,"atwork",111,1327
40,"atwork",324,5681
5,"atwork",187,2063
6,"atwork",285,3110
7,"atwork",348,4403
8,"atwork",513,6417
9,"atwork",729,8872
1,"esco",20,348
10,"esco",5080,29371
11,"esco",3670,20714
12,"esco",3247,18862
13,"esco",3394,19448
14,"esco",3809,20913
15,"esco",4035,22340
16,"esco",4306,23940
17,"esco",4460,25728
18,"esco",4797,28074
19,"esco",6824,59407
2,"esco",103,1442
20,"esco",14897,125493
21,"esco",20324,153068
22,"esco",20426,148976
23,"esco",10022,75043
24,"esco",8931,62115
25,"esco",4997,34053
26,"esco",4147,27449
27,"esco",3620,24957
28,"esco",3309,22565
29,"esco",3022,20845
3,"esco",436,5234
30,"esco",2661,18411
31,"esco",2238,15755
32,"esco",1971,13442
33,"esco",1593,11298
34,"esco",1381,9762
35,"esco",1250,8400
36,"esco",1101,7258
37,"esco",821,6170
38,"esco",707,5312
39,"esco",642,4783
4,"esco",1317,14270
40,"esco",772,5276
5,"esco",1926,21037
6,"esco",5274,58108
7,"esco",15641,161425
8,"esco",16930,154317
9,"esco",12970,94138
1,"idisc",573,3805
10,"idisc",11875,72225
11,"idisc",12716,78092
12,"idisc",11127,67021
13,"idisc",11290,69532
14,"idisc",13463,81056
15,"idisc",13732,81823
16,"idisc",12712,79128
17,"idisc",11461,70378
18,"idisc",11507,69415
19,"idisc",10902,68364
2,"idisc",958,6094
20,"idisc",10386,64866
21,"idisc",10015,62622
22,"idisc",9925,61993
23,"idisc",11143,73259
24,"idisc",11743,76923
25,"idisc",13618,91628
26,"idisc",14906,99130
27,"idisc",17283,114372
28,"idisc",18840,131162
29,"idisc",19285,141591
3,"idisc",1462,9111
30,"idisc",16126,105495
31,"idisc",13823,84160
32,"idisc",14320,85536
33,"idisc",15078,82487
34,"idisc",17262,87193
35,"idisc",7932,39490
36,"idisc",7395,35311
37,"idisc",5191,23093
38,"idisc",4428,19780
39,"idisc",2499,10345
4,"idisc",2313,14200
40,"idisc",2438,10579
5,"idisc",3342,21270
6,"idisc",5113,30818
7,"idisc",8185,48950
8,"idisc",9828,56765
9,"idisc",11640,65401
1,"imain",385,1789
10,"imain",20433,99998
11,"imain",26458,127466
12,"imain",32838,153168
13,"imain",35301,164132
14,"imain",37615,170790
15,"imain",34044,152858
16,"imain",33460,148893
17,"imain",30479,134640
18,"imain",29334,129461
19,"imain",31254,136137
2,"imain",683,3393
20,"imain",29843,129903
21,"imain",29830,128461
22,"imain",29395,124912
23,"imain",29816,124641
24,"imain",30151,123593
25,"imain",24851,102628
