"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",281,132,56295
1,"esc",257,76,223399
1,"idisc",3575,65,17648
1,"imain",1544,115,87679
1,"jdisc",3042,72,4910
1,"jmain",2029,201,25263
1,"sch",3478,15,8927
1,"Total",57112,1831,457094
1,"univ",163,12,4659
1,"work",42743,1143,28314
2,"atwork",300,46,164118
2,"esc",982,376,329275
2,"idisc",5156,398,88284
2,"imain",2551,424,215390
2,"jdisc",3234,526,23447
2,"jmain",2860,660,32026
2,"sch",4455,24,8122
2,"Total",57740,2547,893566
2,"univ",148,2,3258
2,"work",38054,91,29646
3,"atwork",604,122,108356
3,"esc",3304,1550,80205
3,"idisc",7166,938,125694
3,"imain",4513,949,206121
3,"jdisc",3171,1397,36456
3,"jmain",3709,1683,66953
3,"sch",5465,46,7689
3,"Total",129087,6913,667816
3,"univ",131,4,2359
3,"work",101024,224,33983
4,"atwork",994,245,31492
4,"esc",7084,5921,16608
4,"idisc",10390,2161,167882
4,"imain",7810,2013,183398
4,"jdisc",3340,2221,39503
4,"jmain",4912,3018,42603
4,"sch",7974,62,7345
4,"Total",167725,16124,542801
4,"univ",1992,37,14160
4,"work",123229,446,39810
5,"atwork",1485,439,26009
5,"esc",10278,8883,7615
5,"idisc",14669,4160,143138
5,"imain",13344,3559,125897
5,"jdisc",3022,3595,30672
5,"jmain",4800,4573,23663
5,"sch",96370,165,8035
5,"Total",353335,26269,426546
5,"univ",3426,77,16270
5,"work",205941,818,45247
6,"atwork",2165,704,5041
6,"esc",33804,19791,4869
6,"idisc",21253,5899,111760
6,"imain",22855,5889,88039
6,"jdisc",2497,3804,25473
6,"jmain",4977,5409,13207
6,"sch",336286,476,10522
6,"Total",741171,43785,324190
6,"univ",16066,293,13504
6,"work",301268,1520,51775
7,"atwork",2959,1132,5000
7,"esc",94914,52719,5043
7,"idisc",36341,7115,81957
7,"imain",41282,8037,61873
7,"jdisc",3239,2590,13406
7,"jmain",5289,4316,8025
7,"sch",426180,825,12373
7,"Total",1033500,79872,268647
7,"univ",22623,567,24304
7,"work",400673,2571,56666
8,"atwork",4358,1619,5104
8,"esc",67798,70460,3967
8,"idisc",38569,9725,67243
8,"imain",46383,11445,43969
8,"jdisc",2820,1984,9364
8,"jmain",4953,3382,4948
8,"sch",229556,962,14451
8,"Total",704553,104239,237093
8,"univ",16219,745,27169
8,"work",293897,3917,60878
9,"atwork",5873,2376,3380
9,"esc",28145,52324,3067
9,"idisc",42459,12427,55001
9,"imain",54403,15591,31254
9,"jdisc",2820,1574,5663
9,"jmain",5521,2819,3081
9,"sch",120705,962,17982
9,"Total",488121,94538,208195
9,"univ",19246,1141,24215
9,"work",208949,5324,64552
