"","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
"Alameda",78366,9338,996,100,12857,6732,15384,552,167,124492
"Contra Costa",20102,46397,1572,501,7671,1771,2467,2845,343,83669
"Marin",2737,1696,7524,164,6306,876,280,326,1135,21044
"Napa",548,939,267,5756,322,124,290,1452,993,10691
"San Francisco",7934,2094,1599,47,58065,6547,1208,199,149,77842
"San Mateo",7936,1171,683,45,14426,26523,11628,108,80,62600
"Santa Clara",11944,1129,136,41,1647,7737,124345,143,84,147206
"Solano",2664,5734,614,1712,1476,415,716,19267,522,33120
"Sonoma",879,678,1754,1089,1161,287,336,524,32825,39533
"Total",133110,69176,15145,9455,103931,51012,156654,25416,36298,600197
