"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,46429,19713,4711,2963,11522,16418,29638,8616,9028,149038
2,10143,13551,2344,1274,5639,6564,22121,4731,4956,71323
3,5286,7362,1184,695,2405,3535,12758,2723,3021,38969
4,2979,4112,643,322,1180,1826,7474,1595,1461,21592
5,1562,2506,434,165,593,1208,4565,667,814,12514
6,941,1732,291,98,309,722,2963,352,549,7957
7,536,1272,177,67,158,451,1950,270,379,5260
8,362,787,128,63,58,332,1302,269,304,3605
9,236,605,88,45,28,196,979,216,308,2701
10,142,442,79,75,15,168,630,180,191,1922
11,130,313,47,39,12,116,441,167,170,1435
12,87,233,43,59,11,85,368,135,135,1156
13,74,196,57,68,14,79,256,78,129,951
14,77,145,31,86,9,55,189,70,95,757
15,66,111,51,47,15,52,149,63,87,641
16,52,97,27,24,18,57,128,79,59,541
17,54,69,31,22,8,43,99,62,71,459
18,38,74,39,19,9,47,69,69,60,424
19,35,59,42,3,10,53,58,83,60,403
20,33,73,32,53,2,46,41,49,65,394
21,32,47,24,36,3,32,35,37,31,277
22,21,36,21,21,2,31,25,62,12,231
23,20,46,18,6,4,17,16,55,12,194
24,16,26,11,2,1,18,13,46,28,161
25,5,22,13,2,1,16,18,32,28,137
26,13,11,10,8,2,10,6,15,25,100
27,9,6,5,14,2,10,8,11,4,69
28,6,4,4,7,0,7,3,15,5,51
29,8,4,3,4,0,2,5,17,9,52
30,13,4,1,2,0,2,2,6,5,35
31,0,2,1,2,0,0,1,10,4,20
32,2,1,1,0,0,0,1,22,1,28
33,2,0,0,0,0,0,2,20,2,26
34,0,1,2,0,0,0,0,14,3,20
35,1,1,1,0,0,14,0,22,3,42
36,0,1,1,2,0,0,0,10,2,16
37,0,0,0,0,0,0,1,5,0,6
38,1,0,0,0,0,1,0,1,0,3
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,6,7
41,0,0,0,0,0,0,0,0,1,1
42,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
44,0,0,2,0,0,0,0,0,2,4
45,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,1,0,0,0,2
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,1,0,0,0,1
49,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,1,2
51,0,2,4,1,0,1,4,1,9,22
