"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",153,17,5824
1,"esc",49,12,21953
1,"idisc",1444,101,25809
1,"imain",558,36,18411
1,"jdisc",332,24,3014
1,"jmain",320,20,3400
1,"sch",592,7,2833
1,"Total",12066,368,87966
1,"univ",44,1,450
1,"work",8574,150,6272
2,"atwork",173,9,30683
2,"esc",230,53,40967
2,"idisc",1988,283,39935
2,"imain",850,167,59710
2,"jdisc",380,93,5321
2,"jmain",443,61,6531
2,"sch",804,4,2451
2,"Total",12178,685,192688
2,"univ",42,0,319
2,"work",7268,15,6771
3,"atwork",290,17,22098
3,"esc",623,254,15038
3,"idisc",2742,549,36865
3,"imain",1316,397,28918
3,"jdisc",407,163,5857
3,"jmain",510,250,7940
3,"sch",1000,12,2218
3,"Total",18093,1682,126619
3,"univ",44,0,252
3,"work",11161,40,7433
4,"atwork",655,52,7124
4,"esc",1348,925,4327
4,"idisc",3823,1022,27771
4,"imain",2026,775,30150
4,"jdisc",446,298,3930
4,"jmain",627,443,6777
4,"sch",1384,6,2035
4,"Total",46769,3626,92046
4,"univ",567,0,1698
4,"work",35893,105,8234
5,"atwork",958,81,4606
5,"esc",3179,1360,2831
5,"idisc",5363,1723,38033
5,"imain",3028,1244,22073
5,"jdisc",500,411,4302
5,"jmain",628,609,3993
5,"sch",28786,51,2106
5,"Total",100325,5695,89192
5,"univ",1353,12,2082
5,"work",56530,204,9166
6,"atwork",1430,176,3787
6,"esc",7410,3971,1873
6,"idisc",7511,2645,29011
6,"imain",4559,1747,20040
6,"jdisc",509,405,3205
6,"jmain",672,693,3076
6,"sch",69515,93,2279
6,"Total",174816,10135,75092
6,"univ",4248,28,1871
6,"work",78962,377,9950
7,"atwork",1825,339,3159
7,"esc",9136,9234,1284
7,"idisc",11723,3553,20078
7,"imain",7414,1950,21176
7,"jdisc",648,370,2299
7,"jmain",807,553,2772
7,"sch",70816,153,2469
7,"Total",201113,16924,68080
7,"univ",4679,50,3938
7,"work",94065,722,10905
8,"atwork",2452,495,2819
8,"esc",14382,7985,1011
8,"idisc",14033,4475,18295
8,"imain",14694,2357,16684
8,"jdisc",763,289,1905
8,"jmain",1363,450,1933
8,"sch",44049,190,2756
8,"Total",157826,17408,61725
8,"univ",3759,108,4710
8,"work",62331,1059,11612
9,"atwork",2915,743,1817
9,"esc",6252,7873,881
9,"idisc",11638,5696,8363
9,"imain",10324,2862,11727
9,"jdisc",616,324,802
9,"jmain",1030,371,1260
9,"sch",14406,185,3308
9,"Total",95561,19704,45222
9,"univ",2347,164,4877
9,"work",46033,1486,12187
10,"atwork",3158,1150,1171
10,"esc",1337,4178,669
10,"idisc",12341,7207,7753
10,"imain",14661,3145,8317
10,"jdisc",669,346,678
10,"jmain",1556,373,867
10,"sch",4101,206,4128
10,"Total",60094,18699,39916
10,"univ",3429,250,4006
10,"work",18842,1844,12327
11,"atwork",3702,1616,4053
11,"esc",1382,2545,501
11,"idisc",11940,6256,5517
11,"imain",14043,4058,6174
11,"jdisc",622,322,497
11,"jmain",1718,486,573
11,"sch",2301,191,5274
11,"Total",50192,18150,38667
11,"univ",2868,358,3567
11,"work",11616,2318,12511
12,"atwork",4412,2576,2550
12,"esc",1620,1983,420
12,"idisc",9352,6578,3653
12,"imain",19642,4626,4494
12,"jdisc",626,373,310
12,"jmain",2502,594,368
12,"sch",1501,476,6944
12,"Total",50252,20515,34347
12,"univ",2681,512,3184
12,"work",7916,2797,12424
13,"atwork",4544,3803,1545
13,"esc",1700,1910,408
13,"idisc",9783,7447,7781
13,"imain",11669,8935,3217
13,"jdisc",642,412,417
13,"jmain",1313,1034,188
13,"sch",1163,988,10237
13,"Total",40710,28810,39204
13,"univ",2452,781,3194
13,"work",7444,3500,12217
14,"atwork",3427,6010,1027
14,"esc",1836,1917,244
14,"idisc",8843,9172,7081
14,"imain",16447,8053,2184
14,"jdisc",519,533,326
14,"jmain",1887,1055,163
14,"sch",953,1709,18143
14,"Total",43266,33909,43574
14,"univ",2263,1141,2758
14,"work",7091,4319,11648
15,"atwork",5053,2679,670
15,"esc",2074,2113,190
15,"idisc",7277,9500,4721
15,"imain",9736,14053,2280
15,"jdisc",354,562,218
15,"jmain",1150,1707,166
15,"sch",922,2721,28863
15,"Total",35643,39844,50083
15,"univ",2047,1273,1628
15,"work",7030,5236,11347
16,"atwork",23777,3703,431
16,"esc",2246,2190,125
16,"idisc",8402,7337,3705
16,"imain",11501,12310,2390
16,"jdisc",659,514,184
16,"jmain",1385,1544,151
16,"sch",738,3907,40434
16,"Total",57383,40850,60849
16,"univ",1908,2967,1982
16,"work",6767,6378,11447
17,"atwork",6842,9628,271
17,"esc",2291,2388,78
17,"idisc",9061,6174,3038
17,"imain",11081,10643,2244
17,"jdisc",749,349,128
17,"jmain",1339,1286,111
17,"sch",606,5335,34494
17,"Total",40580,45032,59125
17,"univ",1806,1767,1634
17,"work",6805,7462,17127
18,"atwork",6953,9650,178
18,"esc",2566,2716,41
18,"idisc",7688,6966,2220
18,"imain",11469,10061,1701
18,"jdisc",402,513,112
18,"jmain",1405,1236,87
18,"sch",776,6757,29574
18,"Total",39490,48017,72379
18,"univ",1637,1479,2346
18,"work",6594,8639,36120
19,"atwork",3019,14908,122
19,"esc",4517,2235,19
19,"idisc",7241,7815,1941
19,"imain",11855,15348,1359
19,"jdisc",359,667,104
19,"jmain",1401,1649,74
19,"sch",602,7825,10834
19,"Total",36329,62009,50931
19,"univ",896,1467,910
19,"work",6439,10095,35568
20,"atwork",2767,5964,63
20,"esc",1986,6137,22
20,"idisc",6609,7039,1600
20,"imain",11422,16933,986
20,"jdisc",390,457,77
20,"jmain",1375,1782,51
20,"sch",766,17564,14267
20,"Total",32428,69363,80607
20,"univ",838,1547,911
20,"work",6275,11940,62630
21,"atwork",2217,4498,38
21,"esc",5232,1872,17
21,"idisc",6505,7532,1412
21,"imain",9528,14227,792
21,"jdisc",416,554,61
21,"jmain",1037,1581,46
21,"sch",869,23870,13630
21,"Total",32462,68695,65899
21,"univ",743,854,808
21,"work",5915,13707,49095
22,"atwork",1820,3857,16
22,"esc",3791,4844,6
22,"idisc",6415,7712,1191
22,"imain",9078,22378,650
22,"jdisc",471,584,54
22,"jmain",1063,2615,32
22,"sch",1071,70589,8370
22,"Total",29595,130205,62119
22,"univ",576,2792,657
22,"work",5310,14834,51143
23,"atwork",1543,3183,10
23,"esc",3332,4443,4
23,"idisc",8651,7787,967
23,"imain",8008,18847,443
23,"jdisc",1007,554,36
23,"jmain",1337,2058,23
23,"sch",1324,23653,3292
23,"Total",30727,93866,50903
23,"univ",464,1482,556
23,"work",5061,31859,45572
24,"atwork",1324,2493,6
24,"esc",2575,3901,6
24,"idisc",9113,8552,876
24,"imain",7068,13291,349
24,"jdisc",1463,614,34
24,"jmain",1247,1552,23
24,"sch",1337,15062,2313
24,"Total",29423,82131,31087
24,"univ",346,1744,493
24,"work",4950,34922,26987
25,"atwork",1319,2050,1
25,"esc",1407,2270,8
25,"idisc",11854,8360,706
25,"imain",6662,9839,255
25,"jdisc",1315,789,21
25,"jmain",1357,1279,13
25,"sch",1376,18805,1468
25,"Total",32350,74422,22817
25,"univ",2431,2808,404
25,"work",4629,28222,19941
26,"atwork",1007,2294,1
26,"esc",1292,1772,2
26,"idisc",11757,9250,621
26,"imain",5853,11662,196
26,"jdisc",1635,839,27
26,"jmain",1268,1705,8
26,"sch",1329,21406,955
26,"Total",30217,125262,16718
26,"univ",1890,3416,393
26,"work",4186,72918,14515
27,"atwork",839,1466,0
27,"esc",1269,1505,1
27,"idisc",9910,10481,485
27,"imain",6347,8342,191
27,"jdisc",1726,1122,12
27,"jmain",1665,1406,15
27,"sch",1208,16036,530
27,"Total",28439,101044,11217
27,"univ",1384,3142,346
27,"work",4091,57544,9637
28,"atwork",768,1461,0
28,"esc",1184,1388,2
28,"idisc",12038,11424,363
28,"imain",6360,8085,154
28,"jdisc",2315,1259,6
28,"jmain",1761,1493,3
28,"sch",903,8113,296
28,"Total",30219,91323,7197
28,"univ",1133,2925,253
28,"work",3757,55175,6120
29,"atwork",603,1200,0
29,"esc",1149,1321,0
29,"idisc",13243,12994,311
29,"imain",6802,9768,111
29,"jdisc",3391,1709,17
29,"jmain",1939,2143,3
29,"sch",652,4280,181
29,"Total",32027,71123,4327
29,"univ",924,2633,247
29,"work",3324,35075,3457
30,"atwork",538,1010,0
30,"esc",1014,1267,0
30,"idisc",17692,14959,242
30,"imain",4249,6208,84
30,"jdisc",3563,2147,5
30,"jmain",1428,1547,0
30,"sch",441,2472,145
30,"Total",31925,65179,2542
30,"univ",162,2270,175
30,"work",2838,33299,1891
31,"atwork",467,829,0
31,"esc",879,1115,0
31,"idisc",11697,15174,171
31,"imain",3161,4437,74
31,"jdisc",2256,3218,2
31,"jmain",1087,1141,2
31,"sch",255,1427,147
31,"Total",22441,50820,1546
31,"univ",206,2055,145
31,"work",2433,21424,1005
32,"atwork",402,770,0
32,"esc",782,919,0
32,"idisc",7258,14315,134
32,"imain",2199,4563,40
32,"jdisc",1334,2452,2
32,"jmain",743,1299,3
32,"sch",222,804,147
32,"Total",15029,42726,962
32,"univ",212,2138,101
32,"work",1877,15466,535
33,"atwork",390,727,0
33,"esc",624,858,0
33,"idisc",5623,10945,91
33,"imain",1491,4102,37
33,"jdisc",982,2274,5
33,"jmain",524,1253,1
33,"sch",144,468,137
33,"Total",11535,34375,579
33,"univ",217,1969,74
33,"work",1540,11779,234
34,"atwork",364,666,0
34,"esc",564,713,0
34,"idisc",3285,20673,51
34,"imain",958,3216,16
34,"jdisc",579,3275,3
34,"jmain",304,995,0
34,"sch",132,224,96
34,"Total",7567,40926,300
34,"univ",167,1706,47
34,"work",1214,9458,87
35,"atwork",262,632,0
35,"esc",415,671,0
35,"idisc",2282,9598,35
35,"imain",599,2655,7
35,"jdisc",366,1660,2
35,"jmain",206,759,1
35,"sch",106,256,63
35,"Total",5288,25510,169
35,"univ",120,1459,33
35,"work",932,7820,28
36,"atwork",274,607,0
36,"esc",349,512,0
36,"idisc",1725,8054,18
36,"imain",403,1997,9
36,"jdisc",217,1036,0
36,"jmain",133,595,0
36,"sch",103,289,22
36,"Total",3960,21104,70
36,"univ",83,1154,12
36,"work",673,6860,9
37,"atwork",232,539,0
37,"esc",304,420,0
37,"idisc",1121,5589,7
37,"imain",252,1497,1
37,"jdisc",152,696,0
37,"jmain",75,401,0
37,"sch",73,329,6
37,"Total",2822,16583,20
37,"univ",59,892,4
37,"work",554,6220,2
38,"atwork",176,509,0
38,"esc",246,364,0
38,"idisc",938,4818,3
38,"imain",153,1161,1
38,"jdisc",93,539,0
38,"jmain",32,307,0
38,"sch",49,309,4
38,"Total",2126,14879,11
38,"univ",22,710,1
38,"work",417,6162,2
39,"atwork",136,488,0
39,"esc",225,325,0
39,"idisc",552,5876,1
39,"imain",104,895,1
39,"jdisc",77,626,0
39,"jmain",15,187,1
39,"sch",48,315,2
39,"Total",1504,16298,6
39,"univ",7,577,1
39,"work",340,7009,0
40,"atwork",884,1175,0
40,"esc",131,469,0
40,"idisc",395,5225,1
40,"imain",76,776,0
40,"jdisc",23,601,0
40,"jmain",3,143,0
40,"sch",31,367,3
40,"Total",2035,18909,4
40,"univ",13,436,0
40,"work",479,9717,0
