"DropOff","Ride Share","Pure Escort","No Escort","Total"
"Ride Share",4250.9296,53.783,8333.4257,12638.1383
"Pure Escort",0,3283.0916,1514.7523,4797.8439
"No Escort",4017.4689,820.8075,99263.3316,104101.608
"Total",8268.3985,4157.6821,109111.5096,121537.5902
