"District","Workers","WFH"
"Alameda",138015,13523
"Contra Costa",94240,10571
"Marin",24284,3240
"Napa",12247,1556
"San Francisco",85850,8008
"San Mateo",69902,7302
"Santa Clara",163589,16383
"Solano",37259,4139
"Sonoma",45414,5881
"Total",670800,70603
