"purpose","nstops","freq"
"work","1",300798
"univ","1",37186
"sch","1",178933
"esco","1",68761
"imain","1",157733
"idisc","1",233756
"jmain","1",21149
"jdisc","1",26544
"atwork","1",80422
"Total","1",1105282
"work","2",124227
"univ","2",7770
"sch","2",48393
"esco","2",16603
"imain","2",57544
"idisc","2",36951
"jmain","2",9351
"jdisc","2",5409
"atwork","2",8716
"Total","2",314964
"work","3",70294
"univ","3",4171
"sch","3",17903
"esco","3",4058
"imain","3",29255
"idisc","3",16492
"jmain","3",5600
"jdisc","3",1330
"atwork","3",3574
"Total","3",152677
"work","4",33554
"univ","4",1940
"sch","4",11075
"esco","4",2345
"imain","4",16197
"idisc","4",8791
"jmain","4",3677
"jdisc","4",536
"atwork","4",1358
"Total","4",79473
"work","5",13638
"univ","5",0
"sch","5",1150
"esco","5",866
"imain","5",4704
"idisc","5",3711
"jmain","5",681
"jdisc","5",131
"atwork","5",0
"Total","5",24881
"work","6",3462
"univ","6",0
"sch","6",0
"esco","6",125
"imain","6",1718
"idisc","6",1053
"jmain","6",142
"jdisc","6",19
"atwork","6",0
"Total","6",6519
"work","7",2183
"univ","7",0
"sch","7",0
"esco","7",170
"imain","7",495
"idisc","7",102
"jmain","7",55
"jdisc","7",4
"atwork","7",0
"Total","7",3009
