"distbin","PURPOSE","freq"
1,"esco",29538
10,"esco",1024
11,"esco",882
12,"esco",742
13,"esco",612
14,"esco",482
15,"esco",376
16,"esco",341
17,"esco",248
18,"esco",211
19,"esco",167
2,"esco",29493
20,"esco",143
21,"esco",106
22,"esco",79
23,"esco",72
24,"esco",43
25,"esco",47
26,"esco",40
27,"esco",24
28,"esco",25
29,"esco",10
3,"esco",13641
30,"esco",17
31,"esco",7
32,"esco",9
33,"esco",4
34,"esco",5
35,"esco",5
36,"esco",2
37,"esco",2
38,"esco",1
39,"esco",2
4,"esco",6475
40,"esco",1
41,"esco",13
5,"esco",2577
6,"esco",1520
7,"esco",1540
8,"esco",1265
9,"esco",1137
1,"imain",54040
10,"imain",5067
11,"imain",4356
12,"imain",4168
13,"imain",3586
14,"imain",3149
15,"imain",2657
16,"imain",2418
17,"imain",2060
18,"imain",1818
19,"imain",1688
2,"imain",59468
20,"imain",1430
21,"imain",1233
22,"imain",1102
23,"imain",945
24,"imain",833
25,"imain",748
26,"imain",735
27,"imain",589
28,"imain",538
29,"imain",445
3,"imain",39017
30,"imain",406
31,"imain",358
32,"imain",349
33,"imain",266
34,"imain",210
35,"imain",173
36,"imain",195
37,"imain",156
38,"imain",149
39,"imain",135
4,"imain",24552
40,"imain",100
41,"imain",873
5,"imain",15224
6,"imain",10493
7,"imain",8741
8,"imain",7147
9,"imain",6029
1,"idisc",55167
10,"idisc",4948
11,"idisc",4225
12,"idisc",3599
13,"idisc",3155
14,"idisc",2898
15,"idisc",2565
16,"idisc",2264
17,"idisc",2022
18,"idisc",1925
19,"idisc",1698
2,"idisc",70811
20,"idisc",1561
21,"idisc",1412
22,"idisc",1279
23,"idisc",1188
24,"idisc",1008
25,"idisc",920
26,"idisc",843
27,"idisc",696
28,"idisc",671
29,"idisc",630
3,"idisc",51644
30,"idisc",545
31,"idisc",489
32,"idisc",433
33,"idisc",343
34,"idisc",331
35,"idisc",306
36,"idisc",276
37,"idisc",256
38,"idisc",229
39,"idisc",215
4,"idisc",29856
40,"idisc",183
41,"idisc",1178
5,"idisc",16585
6,"idisc",10874
7,"idisc",8841
8,"idisc",7043
9,"idisc",5744
1,"jmain",6353
10,"jmain",835
11,"jmain",710
12,"jmain",609
13,"jmain",509
14,"jmain",480
15,"jmain",428
16,"jmain",377
17,"jmain",289
18,"jmain",292
19,"jmain",225
2,"jmain",9118
20,"jmain",224
21,"jmain",185
22,"jmain",128
23,"jmain",124
24,"jmain",122
25,"jmain",91
26,"jmain",85
27,"jmain",77
28,"jmain",70
29,"jmain",73
3,"jmain",6564
30,"jmain",53
31,"jmain",64
32,"jmain",37
33,"jmain",40
34,"jmain",36
35,"jmain",34
36,"jmain",23
37,"jmain",23
38,"jmain",18
39,"jmain",15
4,"jmain",4272
40,"jmain",16
41,"jmain",80
5,"jmain",2648
6,"jmain",1731
7,"jmain",1422
8,"jmain",1195
9,"jmain",980
1,"jdisc",5095
10,"jdisc",564
11,"jdisc",499
12,"jdisc",483
13,"jdisc",372
14,"jdisc",338
15,"jdisc",295
16,"jdisc",297
17,"jdisc",258
18,"jdisc",186
19,"jdisc",224
2,"jdisc",7843
20,"jdisc",195
21,"jdisc",174
22,"jdisc",162
23,"jdisc",157
24,"jdisc",114
25,"jdisc",117
26,"jdisc",103
27,"jdisc",97
28,"jdisc",79
29,"jdisc",68
3,"jdisc",6057
30,"jdisc",62
31,"jdisc",58
32,"jdisc",64
33,"jdisc",42
34,"jdisc",52
35,"jdisc",33
36,"jdisc",37
37,"jdisc",36
38,"jdisc",35
39,"jdisc",20
4,"jdisc",3654
40,"jdisc",19
41,"jdisc",171
5,"jdisc",2009
6,"jdisc",1400
7,"jdisc",1028
8,"jdisc",795
9,"jdisc",681
1,"atwork",36140
10,"atwork",740
11,"atwork",521
12,"atwork",400
13,"atwork",289
14,"atwork",203
15,"atwork",145
16,"atwork",99
17,"atwork",78
18,"atwork",55
19,"atwork",46
2,"atwork",22095
20,"atwork",31
21,"atwork",17
22,"atwork",12
23,"atwork",9
24,"atwork",9
25,"atwork",8
26,"atwork",7
27,"atwork",3
28,"atwork",3
29,"atwork",0
3,"atwork",14360
30,"atwork",0
31,"atwork",2
32,"atwork",2
33,"atwork",0
34,"atwork",0
35,"atwork",0
36,"atwork",1
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",7950
40,"atwork",0
41,"atwork",1
5,"atwork",4215
6,"atwork",2621
7,"atwork",1762
8,"atwork",1308
9,"atwork",938
1,"Total",186333
10,"Total",13178
11,"Total",11193
12,"Total",10001
13,"Total",8523
14,"Total",7550
15,"Total",6466
16,"Total",5796
17,"Total",4955
18,"Total",4487
19,"Total",4048
2,"Total",198828
20,"Total",3584
21,"Total",3127
22,"Total",2762
23,"Total",2495
24,"Total",2129
25,"Total",1931
26,"Total",1813
27,"Total",1486
28,"Total",1386
29,"Total",1226
3,"Total",131283
30,"Total",1083
31,"Total",978
32,"Total",894
33,"Total",695
34,"Total",634
35,"Total",551
36,"Total",534
37,"Total",473
38,"Total",432
39,"Total",387
4,"Total",76759
40,"Total",319
41,"Total",2316
5,"Total",43258
6,"Total",28639
7,"Total",23334
8,"Total",18753
9,"Total",15509
