"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,13631,3902,1085,1217,8372,3339,5561,2456,3679,43242
2,8945,5280,935,1008,11488,3313,8619,2899,3894,46381
3,8559,5011,704,830,10690,3620,9987,2681,3587,45669
4,7346,4647,738,678,9039,3377,10511,2179,2873,41388
5,6031,4352,743,468,7239,3016,10580,1379,2282,36090
6,5082,3545,581,320,5810,2809,10342,851,1817,31157
7,3782,3174,512,314,4158,2447,9922,728,1551,26588
8,3246,2913,466,176,2427,2398,8794,723,1301,22444
9,3067,2481,517,135,1479,2200,8123,755,1465,20222
10,3094,2127,554,200,936,2054,7249,835,1295,18344
11,3456,2122,498,124,975,2034,6598,741,1211,17759
12,3535,2013,556,102,1018,2038,5765,778,1095,16900
13,3683,1870,687,182,1163,2052,5061,659,969,16326
14,3586,1913,660,148,1106,1947,4423,630,720,15133
15,3581,2080,632,184,1074,1631,3793,618,717,14310
16,3332,2173,654,184,1057,1552,3255,605,708,13520
17,3244,2090,695,228,1012,1646,2639,587,665,12806
18,2898,2045,681,198,823,1681,2333,544,692,11895
19,2857,2214,673,209,653,1590,1863,653,609,11321
20,2612,2146,675,163,593,1598,1663,545,560,10555
21,2440,1953,710,133,556,1432,1468,512,475,9679
22,2367,1844,727,157,505,1443,1260,540,346,9189
23,2161,1699,584,122,454,1342,1262,497,369,8490
24,2186,1632,485,147,439,1319,1125,480,386,8199
25,2027,1479,511,133,404,1165,1059,515,306,7599
26,2081,1436,482,124,342,1095,1044,437,267,7308
27,1903,1315,472,148,328,991,997,473,219,6846
28,1713,1155,370,117,312,893,975,441,226,6202
29,1491,1025,350,135,297,808,830,437,188,5561
30,1333,964,336,129,272,770,751,401,162,5118
31,1169,911,309,110,234,672,694,403,169,4671
32,1082,782,227,128,219,581,663,421,165,4268
33,889,779,189,92,204,502,691,367,158,3871
34,854,711,175,115,198,442,622,378,156,3651
35,784,659,180,133,192,361,548,302,133,3292
36,646,602,127,126,175,296,485,289,113,2859
37,562,571,135,132,162,265,426,269,137,2659
38,505,486,122,83,137,230,421,215,131,2330
39,395,491,118,92,136,215,411,200,165,2223
40,353,435,101,101,105,197,335,209,207,2043
41,266,366,85,64,113,187,331,199,177,1788
42,201,330,99,60,93,142,318,185,144,1572
43,182,320,68,46,86,109,289,157,155,1412
44,200,274,60,54,77,107,234,143,112,1261
45,182,219,45,48,74,90,178,111,103,1050
46,123,234,50,36,76,66,185,118,104,992
47,120,215,46,32,75,58,163,140,110,959
48,99,177,48,33,76,60,200,109,93,895
49,73,150,29,58,63,37,212,117,83,822
50,71,150,27,28,67,33,151,94,70,691
51,467,2207,531,707,259,350,1797,2115,2214,10647
