"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,3124,318,91,51,1335,205,919,102,240,6385
2,2465,578,137,70,2361,337,1840,135,609,8532
3,2234,797,165,149,2207,1016,1761,154,604,9087
4,1802,897,130,156,2011,834,1962,295,543,8630
5,1634,780,121,60,1653,660,2106,242,362,7618
6,1345,713,131,159,1303,758,2241,241,271,7162
7,1132,582,153,111,834,633,2256,275,140,6116
8,925,488,70,30,383,462,1899,77,171,4505
9,883,430,84,33,137,332,1559,15,372,3845
10,760,677,53,37,99,350,1318,84,249,3627
11,644,548,101,17,54,278,1173,193,308,3316
12,575,449,89,47,145,331,834,312,253,3035
13,516,420,95,28,219,342,688,392,133,2833
14,491,457,101,13,168,329,603,464,79,2705
15,475,457,115,5,186,290,466,233,113,2340
16,410,293,120,14,138,194,410,180,84,1843
17,424,325,87,65,149,180,360,121,140,1851
18,347,351,118,43,108,204,234,125,204,1734
19,305,343,89,37,66,156,168,68,166,1398
20,242,341,87,24,54,132,146,65,140,1231
21,229,214,81,24,34,140,113,68,51,954
22,207,210,64,10,22,126,74,55,42,810
23,147,180,85,13,20,94,103,138,41,821
24,115,113,83,4,15,72,44,56,54,556
25,121,105,79,15,8,68,72,54,42,564
26,90,90,39,8,7,54,33,50,29,400
27,73,50,35,8,8,49,27,69,12,331
28,60,42,35,4,10,30,39,19,15,254
29,51,43,36,5,3,30,14,25,6,213
30,37,23,30,3,2,16,19,9,4,143
31,32,17,20,6,2,12,21,14,52,176
32,17,13,10,0,0,14,7,8,17,86
33,8,7,8,1,4,5,10,3,7,53
34,7,11,5,3,2,4,1,1,0,34
35,5,8,5,1,1,1,6,0,1,28
36,10,2,0,1,0,1,4,1,2,21
37,6,2,0,1,0,3,4,5,12,33
38,6,5,1,0,0,0,1,4,0,17
39,2,1,0,0,0,0,1,4,0,8
40,1,1,1,0,0,0,0,0,1,4
41,3,1,0,0,0,0,0,1,0,5
42,0,0,1,0,0,0,0,0,11,12
43,0,0,0,0,0,0,0,1,1,2
44,0,2,0,1,0,0,0,0,0,3
45,0,0,0,0,0,0,0,0,10,10
46,0,1,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,11,11
