"District","Work","Univ","Schl"
"Alameda",12.2930099122835,6.98438615664845,1.2267206431072
"Contra Costa",15.4029205560004,10.2208669301713,2.41862054187009
"Marin",17.2812017677248,12.8275099818512,2.53050183944911
"Napa",17.5990795996633,8.70031821797932,2.81229265967588
"San Francisco",7.11868156008325,4.62834230433518,1.42528915115751
"San Mateo",13.6094444089457,9.00933424845573,1.9532996026819
"Santa Clara",11.0344485279133,7.34823249490143,2.37305115966542
"Solano",17.4007297705314,11.7658444240477,2.78701283770837
"Sonoma",13.6224392279867,9.0483220278472,2.62525502597696
"Total",12.5229123771029,7.85618718061344,2.08602041730928
