"id","purpose","freq_stop","freq_trip"
34,"jmain",572,1946
35,"jmain",428,1437
36,"jmain",358,1120
37,"jmain",239,735
38,"jmain",183,539
39,"jmain",112,318
4,"jmain",344,1411
40,"jmain",95,246
5,"jmain",407,1642
6,"jmain",458,1792
7,"jmain",386,1719
8,"jmain",564,2226
9,"jmain",554,1863
1,"sch",116,647
10,"sch",747,6211
11,"sch",407,3602
12,"sch",318,2767
13,"sch",327,2689
14,"sch",401,3165
15,"sch",544,4240
16,"sch",860,5530
17,"sch",1186,7138
18,"sch",1544,9095
19,"sch",1876,10304
2,"sch",151,913
20,"sch",4592,22926
21,"sch",6550,31289
22,"sch",21666,93320
23,"sch",7885,32864
24,"sch",5644,22041
25,"sch",7628,27810
26,"sch",9653,32402
27,"sch",7741,24994
28,"sch",3985,13002
29,"sch",2188,7122
3,"sch",200,1164
30,"sch",1279,4195
31,"sch",741,2431
32,"sch",399,1428
33,"sch",249,861
34,"sch",120,472
35,"sch",132,498
36,"sch",153,543
37,"sch",198,598
38,"sch",192,552
39,"sch",183,550
4,"sch",219,1558
40,"sch",175,574
5,"sch",3671,29891
6,"sch",9497,75727
7,"sch",10155,81148
8,"sch",6131,51377
9,"sch",2321,19294
1,"univ",6,47
10,"univ",518,4128
11,"univ",527,3807
12,"univ",514,3714
13,"univ",525,3783
14,"univ",619,4044
15,"univ",674,3976
16,"univ",1121,6077
17,"univ",751,4341
18,"univ",608,3754
19,"univ",523,2971
2,"univ",4,45
20,"univ",527,2937
21,"univ",338,1956
22,"univ",929,4342
23,"univ",510,2478
24,"univ",505,2610
25,"univ",1087,6159
26,"univ",1302,6565
27,"univ",1195,5758
28,"univ",1034,5139
29,"univ",937,4524
3,"univ",9,51
30,"univ",697,3205
31,"univ",618,2907
32,"univ",681,3052
33,"univ",615,2817
34,"univ",564,2435
35,"univ",476,2054
36,"univ",331,1580
37,"univ",287,1246
38,"univ",231,971
39,"univ",167,750
4,"univ",76,589
40,"univ",163,613
5,"univ",194,1453
6,"univ",550,4501
7,"univ",624,5202
8,"univ",519,4471
9,"univ",376,3014
1,"work",3481,10055
10,"work",8034,32721
11,"work",5361,22396
12,"work",4054,16917
13,"work",3997,16193
14,"work",3392,15123
15,"work",4080,16870
16,"work",4255,17543
17,"work",4861,19269
18,"work",5268,20743
19,"work",5889,22550
2,"work",3054,9424
20,"work",7073,25646
21,"work",7481,27116
22,"work",8149,28559
23,"work",16875,54011
24,"work",18529,58510
25,"work",15119,48060
26,"work",38243,115499
27,"work",30669,92364
28,"work",29584,88554
29,"work",18937,57437
3,"work",4464,14662
30,"work",18093,54293
31,"work",11875,35844
32,"work",8474,25899
33,"work",6152,19552
34,"work",4864,15606
35,"work",3926,12729
36,"work",3290,10878
37,"work",2738,9569
38,"work",2692,9303
39,"work",2896,10277
4,"work",12426,43606
40,"work",3812,14040
5,"work",19550,70384
6,"work",25596,97442
7,"work",31568,123533
8,"work",24215,93505
9,"work",17421,70067
1,"Total",4259,14033
10,"Total",21625,104385
11,"Total",19796,90577
12,"Total",20754,91942
13,"Total",19165,91278
14,"Total",20636,99699
15,"Total",21086,99339
16,"Total",23642,121657
17,"Total",22466,108993
18,"Total",23146,111856
19,"Total",27068,126081
2,"Total",4251,15767
20,"Total",31231,134273
21,"Total",30540,133090
22,"Total",50995,211912
23,"Total",43203,168251
24,"Total",39534,151304
25,"Total",35940,142767
26,"Total",62232,217973
27,"Total",50689,180511
28,"Total",45761,167418
29,"Total",34292,137733
3,"Total",6221,24667
30,"Total",31022,128220
31,"Total",22765,96617
32,"Total",17855,76428
33,"Total",14072,60746
34,"Total",13579,62664
35,"Total",9710,40899
36,"Total",8019,33386
37,"Total",6353,25969
38,"Total",5793,22945
39,"Total",5852,23763
4,"Total",15080,60108
40,"Total",6540,27578
5,"Total",26904,123648
6,"Total",41202,213906
7,"Total",50883,264355
8,"Total",43320,222098
9,"Total",31429,153684
