"","PERTYPE","MTF","freq"
"1","1","1",392808
"2","2","1",63552
"3","3","1",11778
"4","6","1",0
"5","7","1",0
"6","8","1",0
"7","Total","1",468138
"8","1","2",26633
"9","2","2",10749
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",37382
"15","1","3",0
"16","2","3",0
"17","3","3",40128
"18","6","3",36994
"19","7","3",167693
"20","8","3",36104
"21","Total","3",280919
"22","1","4",0
"23","2","4",0
"24","3","4",3545
"25","6","4",483
"26","7","4",7146
"27","8","4",0
"28","Total","4",11174
"29","1","5",0
"30","2","5",0
"31","3","5",3849
"32","6","5",1405
"33","7","5",0
"34","8","5",0
"35","Total","5",5254
