"purpose","nstops","freq_out","freq_inb"
"work","1",418992,367499
"univ","1",44933,41683
"sch","1",229863,193763
"esco","1",84311,74572
"imain","1",206037,197541
"idisc","1",262334,259867
"jmain","1",29082,28625
"jdisc","1",29606,30277
"atwork","1",89122,84151
"Total","1",1394280,1277978
"work","2",87578,115315
"univ","2",5253,4841
"sch","2",21416,46530
"esco","2",5892,13813
"imain","2",40472,44284
"idisc","2",25668,26683
"jmain","2",7312,7449
"jdisc","2",3498,2829
"atwork","2",3763,7294
"Total","2",200852,269038
"work","3",27946,45294
"univ","3",881,3553
"sch","3",5187,10743
"esco","3",1487,3159
"imain","3",14771,15838
"idisc","3",8076,8726
"jmain","3",3045,2896
"jdisc","3",632,583
"atwork","3",437,2112
"Total","3",62462,92904
"work","4",13640,20048
"univ","4",0,990
"sch","4",988,6418
"esco","4",1238,1384
"imain","4",6366,9983
"idisc","4",4778,5580
"jmain","4",1216,1685
"jdisc","4",237,284
"atwork","4",748,513
"Total","4",29211,46885
