"distbin","PURPOSE","freq"
1,"work",49082
10,"work",7498
11,"work",6144
12,"work",4963
13,"work",4262
14,"work",3927
15,"work",3208
16,"work",2965
17,"work",2674
18,"work",2510
19,"work",2434
2,"work",146477
20,"work",2068
21,"work",1950
22,"work",1692
23,"work",1502
24,"work",1345
25,"work",1186
26,"work",1061
27,"work",920
28,"work",746
29,"work",699
3,"work",66236
30,"work",591
31,"work",610
32,"work",533
33,"work",435
34,"work",433
35,"work",356
36,"work",351
37,"work",287
38,"work",267
39,"work",234
4,"work",40349
40,"work",151
41,"work",192
42,"work",1574
5,"work",28640
6,"work",21176
7,"work",16201
8,"work",12590
9,"work",9918
1,"univ",2652
10,"univ",224
11,"univ",163
12,"univ",141
13,"univ",120
14,"univ",103
15,"univ",88
16,"univ",83
17,"univ",71
18,"univ",55
19,"univ",52
2,"univ",10176
20,"univ",42
21,"univ",43
22,"univ",34
23,"univ",33
24,"univ",42
25,"univ",36
26,"univ",23
27,"univ",28
28,"univ",18
29,"univ",17
3,"univ",2948
30,"univ",20
31,"univ",12
32,"univ",14
33,"univ",9
34,"univ",18
35,"univ",6
36,"univ",14
37,"univ",12
38,"univ",8
39,"univ",4
4,"univ",1584
40,"univ",6
41,"univ",6
42,"univ",36
5,"univ",1137
6,"univ",735
7,"univ",513
8,"univ",340
9,"univ",266
1,"sch",4082
10,"sch",875
11,"sch",658
12,"sch",644
13,"sch",602
14,"sch",486
15,"sch",488
16,"sch",473
17,"sch",380
18,"sch",371
19,"sch",335
2,"sch",64405
20,"sch",303
21,"sch",257
22,"sch",246
23,"sch",218
24,"sch",214
25,"sch",195
26,"sch",195
27,"sch",166
28,"sch",155
29,"sch",164
3,"sch",20322
30,"sch",130
31,"sch",145
32,"sch",174
33,"sch",98
34,"sch",111
35,"sch",83
36,"sch",82
37,"sch",75
38,"sch",66
39,"sch",74
4,"sch",10529
40,"sch",67
41,"sch",53
42,"sch",670
5,"sch",5546
6,"sch",3256
7,"sch",2148
8,"sch",1385
9,"sch",1098
1,"esco",1822
10,"esco",493
11,"esco",353
12,"esco",257
13,"esco",217
14,"esco",162
15,"esco",132
16,"esco",121
17,"esco",96
18,"esco",64
19,"esco",54
2,"esco",17373
20,"esco",46
21,"esco",49
22,"esco",45
23,"esco",34
24,"esco",25
25,"esco",23
26,"esco",24
27,"esco",23
28,"esco",19
29,"esco",21
3,"esco",5400
30,"esco",18
31,"esco",14
32,"esco",14
33,"esco",13
34,"esco",8
35,"esco",10
36,"esco",4
37,"esco",5
38,"esco",8
39,"esco",6
4,"esco",3175
40,"esco",7
41,"esco",7
42,"esco",453
5,"esco",2198
6,"esco",1521
7,"esco",1083
8,"esco",838
9,"esco",628
1,"imain",11625
10,"imain",2425
11,"imain",2075
12,"imain",1699
13,"imain",1444
14,"imain",1159
15,"imain",1071
16,"imain",921
17,"imain",793
18,"imain",711
19,"imain",694
2,"imain",107505
20,"imain",605
21,"imain",502
22,"imain",489
23,"imain",459
24,"imain",374
25,"imain",318
26,"imain",299
27,"imain",254
28,"imain",227
29,"imain",188
3,"imain",21696
30,"imain",187
31,"imain",162
32,"imain",135
33,"imain",110
34,"imain",111
35,"imain",81
36,"imain",68
37,"imain",55
38,"imain",40
39,"imain",47
4,"imain",11692
40,"imain",37
41,"imain",25
42,"imain",147
5,"imain",7723
6,"imain",5693
7,"imain",4614
8,"imain",3555
9,"imain",3006
1,"idisc",8204
10,"idisc",941
11,"idisc",806
12,"idisc",685
13,"idisc",635
14,"idisc",556
15,"idisc",461
