"distbin","PURPOSE","freq"
16,"idisc",441
17,"idisc",388
18,"idisc",316
19,"idisc",316
2,"idisc",71699
20,"idisc",314
21,"idisc",257
22,"idisc",243
23,"idisc",194
24,"idisc",183
25,"idisc",175
26,"idisc",134
27,"idisc",138
28,"idisc",122
29,"idisc",93
3,"idisc",13001
30,"idisc",96
31,"idisc",69
32,"idisc",78
33,"idisc",45
34,"idisc",57
35,"idisc",56
36,"idisc",37
37,"idisc",17
38,"idisc",32
39,"idisc",14
4,"idisc",5654
40,"idisc",19
41,"idisc",12
42,"idisc",53
5,"idisc",3315
6,"idisc",2489
7,"idisc",1896
8,"idisc",1520
9,"idisc",1268
1,"jmain",1590
10,"jmain",553
11,"jmain",462
12,"jmain",408
13,"jmain",363
14,"jmain",304
15,"jmain",262
16,"jmain",231
17,"jmain",237
18,"jmain",183
19,"jmain",197
2,"jmain",17983
20,"jmain",191
21,"jmain",153
22,"jmain",156
23,"jmain",139
24,"jmain",132
25,"jmain",113
26,"jmain",106
27,"jmain",86
28,"jmain",68
29,"jmain",66
3,"jmain",3770
30,"jmain",75
31,"jmain",58
32,"jmain",47
33,"jmain",45
34,"jmain",47
35,"jmain",30
36,"jmain",31
37,"jmain",31
38,"jmain",20
39,"jmain",18
4,"jmain",2113
40,"jmain",17
41,"jmain",7
42,"jmain",55
5,"jmain",1444
6,"jmain",1182
7,"jmain",979
8,"jmain",767
9,"jmain",627
1,"jdisc",547
10,"jdisc",119
11,"jdisc",114
12,"jdisc",76
13,"jdisc",82
14,"jdisc",60
15,"jdisc",55
16,"jdisc",62
17,"jdisc",41
18,"jdisc",41
19,"jdisc",43
2,"jdisc",5691
20,"jdisc",39
21,"jdisc",38
22,"jdisc",29
23,"jdisc",36
24,"jdisc",28
25,"jdisc",23
26,"jdisc",17
27,"jdisc",23
28,"jdisc",15
29,"jdisc",22
3,"jdisc",1158
30,"jdisc",14
31,"jdisc",12
32,"jdisc",12
33,"jdisc",10
34,"jdisc",11
35,"jdisc",6
36,"jdisc",4
37,"jdisc",8
38,"jdisc",5
39,"jdisc",9
4,"jdisc",599
40,"jdisc",2
41,"jdisc",5
42,"jdisc",17
5,"jdisc",406
6,"jdisc",281
7,"jdisc",227
8,"jdisc",183
9,"jdisc",150
1,"atwork",691
10,"atwork",221
11,"atwork",202
12,"atwork",161
13,"atwork",174
14,"atwork",146
15,"atwork",140
16,"atwork",123
17,"atwork",127
18,"atwork",112
19,"atwork",121
2,"atwork",11477
20,"atwork",122
21,"atwork",106
22,"atwork",104
23,"atwork",83
24,"atwork",72
25,"atwork",74
26,"atwork",76
27,"atwork",50
28,"atwork",42
29,"atwork",47
3,"atwork",2126
30,"atwork",41
31,"atwork",42
32,"atwork",43
33,"atwork",21
34,"atwork",14
35,"atwork",16
36,"atwork",13
37,"atwork",13
38,"atwork",10
39,"atwork",11
4,"atwork",1059
40,"atwork",3
41,"atwork",7
42,"atwork",19
5,"atwork",689
6,"atwork",442
7,"atwork",348
8,"atwork",296
9,"atwork",254
1,"Total",80295
10,"Total",13349
11,"Total",10977
12,"Total",9034
13,"Total",7899
14,"Total",6903
15,"Total",5905
16,"Total",5420
17,"Total",4807
18,"Total",4363
19,"Total",4246
2,"Total",452786
20,"Total",3730
21,"Total",3355
22,"Total",3038
23,"Total",2698
24,"Total",2415
25,"Total",2143
26,"Total",1935
27,"Total",1688
28,"Total",1412
29,"Total",1317
3,"Total",136657
30,"Total",1172
31,"Total",1124
32,"Total",1050
33,"Total",786
34,"Total",810
35,"Total",644
36,"Total",604
37,"Total",503
38,"Total",456
39,"Total",417
4,"Total",76754
40,"Total",309
41,"Total",314
42,"Total",3024
5,"Total",51098
6,"Total",36775
7,"Total",28009
8,"Total",21474
9,"Total",17215
