CountLoc_ID,FACTYPE,volume
16010,3,3231.171
16011,3,4016.860
16020,3,3664.647
16021,3,4321.033
16030,3,1629.019
16031,3,1451.528
16040,3,1124.235
16041,3,1254.150
16050,3,1124.235
16051,3,1254.150
16060,3,981.673
16061,3,1110.256
16070,3,1051.316
16071,3,1105.429
16080,4,634.168
16081,4,593.082
16090,4,371.324
16091,4,389.137
16110,4,0.000
16111,4,0.000
16250,3,13684.882
16251,3,12465.015
16270,3,13977.381
16271,3,11415.574
16280,3,14106.270
16281,3,14197.913
16290,3,13767.860
16291,3,13847.559
16300,3,9875.025
16301,3,9365.489
16310,3,10496.073
16311,3,10506.427
16320,3,11732.151
16321,3,12819.235
16330,3,10764.702
16331,3,12913.407
16340,3,11207.380
16341,3,12333.520
16350,5,10021.492
16351,5,10135.847
16360,4,9727.170
16361,4,9554.019
16370,4,9472.249
16371,4,9315.401
16380,4,9257.048
16381,4,8825.179
16390,4,9117.599
16391,4,7602.844
16400,4,4377.234
16401,4,4429.018
16410,4,3753.724
16411,4,3855.173
16420,4,3753.724
16421,4,3855.173
16430,4,3503.811
16431,4,3580.867
16440,4,3237.705
16441,4,3326.037
16450,4,3244.988
16451,4,3332.119
16460,4,1772.662
16461,4,1786.573
16470,4,1772.662
16471,4,1786.573
16480,4,1772.662
16481,4,1786.573
16490,4,1624.771
16491,4,1638.682
16500,4,1390.628
16501,4,1393.935
16720,30,6639.242
16730,3,9779.526
16740,3,10396.430
16750,3,11671.838
16760,3,11145.215
16770,3,14741.081
16780,3,16491.874
16810,3,15624.408
16820,3,15278.576
16830,3,18860.431
16840,3,18670.868
16851,3,7035.326
16861,3,9306.077
16881,3,10346.636
16891,3,10044.804
16901,3,14467.543
16911,3,15862.606
16921,3,14542.311
16931,3,15121.130
16941,3,15728.828
16951,3,13795.010
16961,3,18090.130
16971,3,17884.520
16990,3,7638.411
16991,3,15050.742
17000,3,7638.411
17001,3,7625.660
17010,3,7705.957
17011,3,7497.583
17020,3,5573.391
17021,3,5267.438
17030,3,5571.749
17031,3,5262.461
17040,3,5955.608
17041,3,5669.403
17050,3,5320.134
17051,3,5044.824
17060,3,5357.280
17061,3,5111.266
17070,3,5357.280
17071,3,5111.266
17080,3,4590.713
17081,3,4552.920
17280,3,10534.390
17281,3,7903.297
17290,3,10740.853
17291,3,11360.134
17300,3,11487.909
17301,3,10823.921
17310,3,10526.261
17311,3,10242.007
17320,3,11480.965
17321,3,11331.318
26540,3,1133.048
26541,3,1055.963
26550,3,1231.620
26551,3,1177.393
26560,4,1188.943
26561,4,1116.716
26570,4,909.984
26571,4,816.250
26580,4,633.275
26581,4,562.688
26590,4,798.288
26591,4,733.950
26600,4,961.123
26601,4,955.403
26610,4,401.611
26611,4,415.427
26620,4,641.118
26621,4,659.938
26640,4,86.191
26641,4,88.296
26650,4,837.951
26651,4,816.672
27060,3,2350.613
27061,3,3408.014
27070,3,2259.262
27071,3,3367.824
27110,3,9574.417
27111,3,10958.317
27120,3,8281.651
27121,3,8846.814
27130,3,8599.794
27131,3,8056.657
27140,3,8901.652
27141,3,8366.891
27380,3,6246.610
27381,3,7330.481
27390,3,6757.714
27391,3,7843.114
27400,3,6442.775
27401,3,7514.424
27410,3,4769.215
27411,3,5638.748
27420,3,4292.058
27421,3,4904.994
27430,3,3977.778
27440,3,3556.930
27450,3,2396.749
27461,3,5001.327
27471,3,4506.061
27481,3,3636.656
27490,3,2072.427
27491,3,3185.394
27500,3,1904.930
27501,3,3016.765
27510,3,2549.161
27511,3,2069.579
27520,3,2015.146
27521,3,1833.741
27530,3,1457.703
27531,3,1658.282
27540,3,5822.236
27541,3,5927.436
27550,3,5157.957
27551,3,5142.251
27560,3,5057.153
27561,3,4989.817
27570,3,4242.653
27571,3,3206.547
27580,3,5623.013
27590,3,4978.192
27600,3,4479.324
27611,3,5337.713
27621,3,2939.291
27640,3,3380.750
