"purpose","avgTripLength"
"esco",2.60999074605071
"imain",4.89212418666447
"idisc",4.82574753444505
"jmain",4.91409125598327
"jdisc",5.16776292764843
"atwork",2.19028383135963
"Total",6.74216305026929
