trip_id,headway_secs,start_time,end_time
6681228,300,10:00:00,15:00:00
6681219,252,06:00:00,10:00:00
6681318,778,19:00:00,03:00:00
6681305,232,15:00:00,19:00:00
6681390,2160,03:00:00,06:00:00
6681070,240,06:00:00,10:00:00
6681042,225,15:00:00,19:00:00
6681038,300,10:00:00,15:00:00
6681034,1028,19:00:00,03:00:00
6681049,1350,03:00:00,06:00:00
6682885,1028,06:00:00,10:00:00
6682961,1028,06:00:00,10:00:00
6768113,1107,06:00:00,10:00:00
6767752,1028,06:00:00,10:00:00
6682823,1028,15:00:00,19:00:00
6768226,757,06:00:00,10:00:00
6767277,18000,10:00:00,15:00:00
6682952,18000,10:00:00,15:00:00
6682951,626,06:00:00,10:00:00
6682850,1440,15:00:00,19:00:00
6782020,1200,15:00:00,19:00:00
6777414,1028,15:00:00,19:00:00
6682866,1440,15:00:00,19:00:00
6682864,960,15:00:00,19:00:00
6750403,450,10:00:00,15:00:00
6750367,464,06:00:00,10:00:00
6750360,3600,03:00:00,06:00:00
6750337,2400,15:00:00,19:00:00
6750336,1200,19:00:00,03:00:00
6750475,400,15:00:00,19:00:00
6750483,464,15:00:00,19:00:00
6750661,400,15:00:00,19:00:00
6750633,450,10:00:00,15:00:00
6750613,2880,06:00:00,10:00:00
6750520,1200,19:00:00,03:00:00
6750519,1542,03:00:00,06:00:00
6750587,3600,10:00:00,15:00:00
6750582,400,06:00:00,10:00:00
6750546,514,06:00:00,10:00:00
6697427,1920,19:00:00,03:00:00
6697425,1200,15:00:00,19:00:00
6697413,1200,10:00:00,15:00:00
6697398,1309,06:00:00,10:00:00
6697387,10800,03:00:00,06:00:00
6697454,1309,06:00:00,10:00:00
6697443,3600,03:00:00,06:00:00
6697495,2057,19:00:00,03:00:00
6697481,1200,15:00:00,19:00:00
6697469,1200,10:00:00,15:00:00
6697866,900,10:00:00,15:00:00
6697858,900,06:00:00,10:00:00
6697844,1800,19:00:00,03:00:00
6697841,5400,03:00:00,06:00:00
6697892,900,15:00:00,19:00:00
6697786,900,06:00:00,10:00:00
6697771,5400,03:00:00,06:00:00
6697839,1800,19:00:00,03:00:00
6697823,900,15:00:00,19:00:00
6697807,900,10:00:00,15:00:00
7097415,540,03:00:00,06:00:00
6791152,543,19:00:00,03:00:00
6791146,473,10:00:00,15:00:00
6791142,389,15:00:00,19:00:00
6791088,400,06:00:00,10:00:00
7097423,543,19:00:00,03:00:00
6807612,461,10:00:00,15:00:00
6791349,450,06:00:00,10:00:00
7097433,540,03:00:00,06:00:00
6791336,411,15:00:00,19:00:00
6700945,1125,10:00:00,15:00:00
6700972,3600,03:00:00,06:00:00
6700971,2880,19:00:00,03:00:00
6700958,1200,15:00:00,19:00:00
6700998,1200,10:00:00,15:00:00
6700933,1309,06:00:00,10:00:00
6701017,2700,03:00:00,06:00:00
6701026,2880,19:00:00,03:00:00
6700984,1107,06:00:00,10:00:00
6701011,1107,15:00:00,19:00:00
7097163,600,03:00:00,06:00:00
6781891,669,19:00:00,03:00:00
6781876,553,15:00:00,19:00:00
6781967,529,10:00:00,15:00:00
6781933,496,06:00:00,10:00:00
7097146,675,03:00:00,06:00:00
